,Job Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,construction labourer,"May 29, 2024",Not specified,"May 29, 2024",Stoic Industries Construction Management Inc.,Port Hardy (BC),Salary:$20.00 to $30.00 hourly,9299375618,https://ca.indeed.com/viewjob?jk=02ce47332b87f641&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Port Hardy , BC",$ 20.00 to $ 30.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9299375618,Not specified
1,construction labourer,"June 08, 2024",Not specified,"June 08, 2024",Professional Home Care,Scarborough (ON),Salary:$20.00 to $30.00 hourly,9315047189,https://ca.indeed.com/viewjob?jk=9b30f05480e4fd1b&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Scarborough , ON",$ 20.00 to $ 30.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9315047189,Not specified
2,construction labourer,"May 30, 2024",2024-06-26,"May 30, 2024",Eastern Group,Ottawa (ON),Salary:$28.69 hourly,e33024a4,https://www.ziprecruiter.com/k/t/AAJv3HgFg5E-ng1mxYpYH090EGUoMmbyA6ErQLo1wVcKbFtK_BGf-3ULhdT2_hlmgSZSn7ZGJLwIyoylnDVGUGTQb9uNhOsSyfY-7KoUTk2acGzZfIlfwtqE8pf_q2qYypLO7Xbf8ebfkougZR-rxomRJIi4QSV0hzaMx5mmaBr2rDHTBMR33PbCPk_RvXmPyzKwfdUQovbqvFt8zNPu4o8ZBvluBLsOwXWJJYYgTlTi43f-k86gMw46ZqfF-h6QxW_zAL8dT60RLf1FJ_VMta5kv2YyV3JgZMzwXT7XUE3T,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON",$ 28.69 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #e33024a4,Not specified
3,construction labourer,"May 29, 2024",Not specified,"May 29, 2024",Renovation Team,Gananoque (ON),Salary:$18.00 to $19.00 hourly,9298747156,https://ca.indeed.com/viewjob?jk=1d64554871fa7f57&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Gananoque , ON",$ 18.00 to $ 19.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9298747156,Not specified
4,construction labourer,"June 10, 2024",Not specified,"June 10, 2024",Winnpro Construction Ltd.,Winnipeg (MB),Salary:$20.00 to $22.95 hourly,9317210758,https://ca.indeed.com/viewjob?jk=cad8040af441ec63&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB",$ 20.00 to $ 22.95 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9317210758,Not specified
5,construction labourer,"June 11, 2024",Not specified,"June 11, 2024",South Brant Excavating,Brant (ON),Salary:$20.00 to $30.00 hourly,9318775360,https://ca.indeed.com/viewjob?jk=8bf30ce1a64f64c2&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Brant , ON",$ 20.00 to $ 30.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9318775360,Not specified
6,construction labourer,"June 05, 2024",Not specified,"June 05, 2024",Benco Ventures,Courtenay (BC),Salary:$18.00 to $22.00 hourly,9310320278,https://ca.indeed.com/viewjob?jk=3c27cc0a9807aa5d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Courtenay , BC",$ 18.00 to $ 22.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9310320278,Not specified
7,construction labourer,"June 06, 2024",2024-07-05,"June 06, 2024",SpartaCon,Ottawa (ON),Salary:$27.34 hourly,fdd2af91,https://www.ziprecruiter.com/k/t/AAJySjRP-GxK7imSE8szmftrmHmR6dTLrcgv0TN1QDjRdy1QaCNg8g90CdhyfQxuqMPpK7LlleIaZHh-UHC5D1y8a3pIocCzfRoz_uiqxjT81NljcjZ-xnxs0xOkn5k0DveCf_k90y429qFcjhL54VPvBue18kDJjBW9ZN1T8Ey4pVqrrvCZz2LCxp5MAjXik7hbQh1hz72mH0eDcQ-GKhdvsN8CQbt26CJXUTsaHy-FZ8POaEtyeBKzJwzkOVRR31EUkeltpd5Oj-EVuQnygrdki_LiUiULh5Bu0s9UieXXKMP7l-Y,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON",$ 27.34 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #fdd2af91,Not specified
8,construction labourer,"May 31, 2024",Not specified,"May 31, 2024",Capital Construction (2007) INC.,Greater Sudbury (ON),Salary:$22.00 to $26.00 hourly,9302626581,https://ca.indeed.com/viewjob?jk=77bf4cf3b95d1ac0&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Greater Sudbury , ON",$ 22.00 to $ 26.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9302626581,Not specified
9,general construction labourer,"June 07, 2024",2024-07-06,"June 07, 2024",10730017 Canada Corp,Toronto (ON),Salary not available,ec39431e33,https://www.ziprecruiter.com/k/t/AALgj2xO4uCCdseTNN-kyUVXk-9x5Y8UndqgFZ00Trbq9YvdmmhS-Fhs-1WS5h1VDmN3J6MyaiD-Xap6MC2lsxG3OhrZA5W77TVoH2zoekA6cHnMoG8HCKDmnnIfrgA5vtAHxQH-tvKrJ1rBQXZ0q9S6QSdr3EsVtjxlzUXXyDznN1LRXiG_49fHVtxCuqOdvjWrIG2barnB7X_OBW7kpSq2QFgwzuBJDN-gAMl4R15m-Nsm8MWnX70AclzvZwgEC_xab2RxvLpEhJvGYzdOquigFrmI3LJ0tdWRM3bzp3sW15X_nyshG2N2CEpJDdqei_uK,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #ec39431e33,Not specified
10,"labourer, construction","May 29, 2024",2024-06-30,"May 29, 2024",Fedorowich Construction Ltd.,Yorkton (SK),Salary:$20-$25 per hour,1355210,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355210,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Yorkton , SK",$ 20.00 to $ 25.00 HOUR hourly,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355210,Not specified
11,construction labourer,"May 28, 2024",Not specified,"May 28, 2024",Tight Rein Construction Ltd.,Toronto (ON),Salary:$18.00 to $26.00 hourly,9297562274,https://ca.indeed.com/viewjob?jk=ba1e34692b79e4ba&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",$ 18.00 to $ 26.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9297562274,Not specified
12,construction labourer,"May 28, 2024",Not specified,"May 28, 2024",Tight Rein Construction Ltd.,Pickering (ON),Salary:$18.00 to $26.00 hourly,9297567652,https://ca.indeed.com/viewjob?jk=9250d8ae999655c8&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Pickering , ON",$ 18.00 to $ 26.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9297567652,Not specified
13,general construction labourer,"May 22, 2024",2024-06-30,"May 22, 2024",Capital Petroleum Service Ltd.,Regina (SK),Salary not available,1352974,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1352974,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1352974,Not specified
14,construction labourer,"June 10, 2024",Not specified,"June 10, 2024",Synergy Radon,Kelowna (BC),Salary:$25.00 hourly,9316979540,https://ca.indeed.com/viewjob?jk=73bfae54ce8d4c17&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kelowna , BC",$ 25.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9316979540,Not specified
15,construction labourer,"June 06, 2024",2024-07-07,"June 06, 2024",Matrix Camps and Logistics,Edmonton (AB),Salary not available,55BC579B6E,https://job-openings.monster.ca/general-skilled-labourer-edmonton-ab-ca-matrix-camps-logistics/a68bbb79-6127-4a52-bead-a1fe6390e968?mescoid=4700799001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #55BC579B6E,Not specified
16,construction labourer,"May 14, 2024",Not specified,"May 14, 2024",Allens Enterprises Services Inc.,Thunder Bay (ON),Salary:$28.00 hourly,9279165624,https://ca.indeed.com/viewjob?jk=5082703f38632869&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Thunder Bay , ON",$ 28.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9279165624,Not specified
17,general construction labourer,"May 26, 2024",Not specified,"May 26, 2024",CM Windows & Doors,Cornwall (ON),Salary:$20.00 to $28.00 hourly,9295271894,https://ca.indeed.com/viewjob?jk=2ad64d69afb5429d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Cornwall , ON",$ 20.00 to $ 28.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9295271894,Not specified
18,construction labourer,"May 30, 2024",Not specified,"May 30, 2024",NxStar Systems inc,Kamloops (BC),Salary:$20.00 to $26.00 hourly,9301189995,https://ca.indeed.com/viewjob?jk=e466ed0e7713c462&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kamloops , BC",$ 20.00 to $ 26.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9301189995,Not specified
19,pipelayer,"June 10, 2024",Not specified,"June 10, 2024",Grizzly Excavating Ltd,Penticton (BC),Salary:$35.00 hourly,9316902444,https://ca.indeed.com/viewjob?jk=898f82f7cf422c30&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Penticton , BC",$ 35.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9316902444,Not specified
20,construction labourer,"May 31, 2024",Not specified,"May 31, 2024",Bursey Contracting (2010) Ltd,St. John's (NL),Salary:$17.00 to $19.00 hourly,9302724407,https://ca.indeed.com/viewjob?jk=dfe81cf7fa1db1db&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","St. John's , NL",$ 17.00 to $ 19.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9302724407,Not specified
21,general construction labourer,"June 04, 2024",2024-07-03,"June 04, 2024",Faber Connect,Calgary (AB),Salary:$25.93 hourly,90dd25dd4,https://www.ziprecruiter.com/k/t/AAKOGf4OiHj1lVda94Tgb9xZbhIKmVZwDHSkd_B7t3mT0kUwBK4bJ0OxgboCZtUowfOuqvf6qGfNt6CI5-yOTAZppP9av-V8x0LLuvqx4etahlmcCgPw_YtcKX3nSppCQsaPbo-mHAlG9WOBU6Nx2HEjJL_S_akCHjp07Zf0hdit9BEU21hB7WhLwafhL5hGM9kxl_uByAo7-tLASRZJKu0oXgkX6yBmqgRul2RBo38PSnxIaoHoOIQMJvuq5kTrki8ht-Shlai8UnX8a2y1gIbkXmlKRutmWblP0l6tjlTg5Q3rYSMvwpI,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 25.93 HOUR hourly,Term or contract,Starts as soon as possible,1 vacancy,ZipRecruiter #90dd25dd4,Not specified
22,construction labourer,"May 21, 2024",2024-06-19,"May 21, 2024",WillOak Turf & Landscapes Ltd.,Calgary (AB),Salary:$24.57 hourly,eafdb1f5,https://www.ziprecruiter.com/k/t/AAJ7yff7cESm2kFF1Ou5441AfWLTmQV8pkzaQodrKRwqTdppq6xWVBeiv8S_u-ahX55BCdHTAF-xm1rhTCuD1y3mdlFhbHuOalfDZ3gVYrBg-HsQqIEfLj7LMvr6L_FRLRkjpHFouLW_dtqs9OSKcUNJPSx1vBuM2phNrkwX--L_3KCgcxWe3-n9iDCL86xvYGug_augIR13GbK1xEBvVQxn50xxwUgavhqNm8X6Pm2Yxvgztfd3svXs6dAXTMS-MM8HrNcRfzLZrH0mluFxX0dE56J4EamuDOmZK0FtoP1PNZb3rG2mjxpcNQXZ5gQsSK-ORQ6K5W8qTglaTY8NOy_JVw,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",$ 24.57 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #eafdb1f5,Not specified
23,general construction labourer,"June 07, 2024",2024-07-08,"June 07, 2024",Fast Labour Solutions,Stand Off (AB),Salary not available,UmQ1iuBmLX,https://job-openings.monster.ca/general-labours-skilled-carpenter-stand-off-ab-ca-fast-labour-solutions/b1df464c-9928-4155-bcae-12c458bc1603?mescoid=4700790001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Stand Off , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #UmQ1iuBmLX,Not specified
24,construction labourer,"June 04, 2024",2024-07-03,"June 04, 2024",McNish Steel,Edmonton (AB),Salary:$30.96 hourly,e2ee219152,https://www.ziprecruiter.com/k/t/AAKvtyGBYJE2H5XTdL8gYEAP8K-TO2FwvSVuBz4nFtUMKhu1SgyKj2y6BFchWvwekY15OIa6nooAmBDmIktDFHufLaSN24FrkB0AuEzl6Ca8phlHJm6Xck3e1qYay_4SOUQqxYNTW_Cupx6TyuWizb_99aoqP1rZrUlyboNOe4wKGubjznD8RW8vrMuG3t8w4pjjraIR4m7hqrr4xii0to_N4_hBzBzC4WJcz_aYWpTV9WHhI-hRLZhSdlZvCi-JK86o_K9moqUWYJNrIr74wrw8Uouts772zjeIzS1YIZf_Uoksnzuy3k0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",$ 30.96 HOUR hourly,Not specified,Starts as soon as possible,1 vacancy,ZipRecruiter #e2ee219152,Not specified
25,demolition worker,"May 30, 2024",2024-06-28,"May 30, 2024",Dubé,Cochrane (ON),Salary not available,12568363,https://www.jobillico.com/en/job-offer/dube/crusher-labourer-detour-lake-mine/12568363?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Cochrane , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobillico #12568363,Not specified
26,general construction labourer,"May 22, 2024",2024-06-22,"May 22, 2024",Nasittuq Corporation,Grise Fiord (NU),Salary not available,241172870,https://job-openings.monster.ca/general-labourers-inuit-employment-grise-fiord-nu-ca-nasittuq-corporation/ceb1a12b-21df-4bfa-9922-d3a656455374?mescoid=4700799001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Grise Fiord , NU",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #241172870,Not specified
27,demolition worker,"June 05, 2024",Not specified,"June 05, 2024",Deconstructors,Victoria (BC),Salary:$21.00 to $26.00 hourly,9311017410,https://ca.indeed.com/viewjob?jk=7d4ecf72222e901f&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Victoria , BC",$ 21.00 to $ 26.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9311017410,Not specified
28,scaffolder,"June 06, 2024",Not specified,"June 06, 2024",Elevations Scaffold Ltd,Surrey (BC),Salary:$25.00 to $45.00 hourly,9312215331,https://ca.indeed.com/viewjob?jk=888de67536306d7c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC",$ 25.00 to $ 45.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9312215331,Not specified
29,general construction labourer,"May 29, 2024",2024-06-29,"May 29, 2024",Weed Man Alberta,Calgary (AB),Salary not available,EK6LpHGl44,https://job-openings.monster.ca/general-labor-calgary-ab-ca-weed-man-alberta/29749c54-d6d9-4f22-b36a-7b2df30d4713?mescoid=4700799001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Permanent employment Part time,Starts as soon as possible,1 vacancy,Monster #EK6LpHGl44,Not specified
30,demolition worker,"May 21, 2024",Not specified,"May 21, 2024",Deconstructors,Victoria (BC),Salary:$21.00 to $28.00 hourly,9288498689,https://ca.indeed.com/viewjob?jk=b50c251dd8b13bc5&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Victoria , BC",$ 21.00 to $ 28.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9288498689,Not specified
31,demolition worker,"May 21, 2024",Not specified,"May 21, 2024",Deconstructors,Victoria (BC),Salary:$21.00 to $26.00 hourly,9288494467,https://ca.indeed.com/viewjob?jk=0d24cd05d6e20c9d&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Victoria , BC",$ 21.00 to $ 26.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9288494467,Not specified
32,construction worker,"June 02, 2024",Not specified,"June 02, 2024",Riverstone Contracting corporation,Location,Salary not available,9305266755,https://ca.indeed.com/viewjob?jk=f827a701c35e16b6&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}",Simcoe County,Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9305266755,Not specified
33,construction labourer,"May 30, 2024",2024-06-26,"May 30, 2024",Quattro Contracting Inc,Georgetown (ON),Salary:$34.16 hourly,2bb4841227,https://www.ziprecruiter.com/k/t/AAKR39x63KAwaCBSObFR8Y2_-WvT5GeolqS3JFmITLq0X9lhtp227IM6kM0e6iHoMNKUxi3-PTlHWuuVxCGGqrpDe4LNCUvFEMzd4LOZ4Y3-UaCNmjDQNgWZ-29CRrVh0S-F6sNL7EAsQNF2u43g6yyKcIPZaa_XcAcTm1zNk3psZrq8WF0SgHCn7JHxmYDGRpuIvtHnkxh31GvER0DMPGPMZQvkYAOAN7H6oFQzXAOGnGs9dpzXodjGzEtAALKJ7yDIEKlJNTdq_tW7NkRwH0PPkAQ5vX6Bz5rFyH73pCXmKq6RqN7DN65IBYzDOs4oLNBJs6biMg,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Georgetown , ON",$ 34.16 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #2bb4841227,Not specified
34,demolition worker,"May 15, 2024",Not specified,"May 15, 2024",Deconstructors,Nanaimo (BC),Salary:$21.00 to $28.00 hourly,9281160874,https://ca.indeed.com/viewjob?jk=51dc954971a734e4&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Nanaimo , BC",$ 21.00 to $ 28.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9281160874,Not specified
35,construction labourer,"June 07, 2024",2024-07-08,"June 07, 2024",Sureway Construction Group,Edmonton (AB),Salary not available,80719537744c4d4aaa5564393e72189d,https://job-openings.monster.ca/shop-labourer-heavy-equipment-shop-edmonton-ab-ca-sureway-construction-group/9bd94488-2001-4abb-b79f-b2717fd2eb1f?mescoid=4700799001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Monster #80719537744c4d4aaa5564393e72189d,Not specified
36,construction labourer,"June 05, 2024",Not specified,"June 05, 2024",Al Stober Construction Ltd,Kelowna (BC),Salary:$24.00 to $34.00 hourly,9310687139,https://ca.indeed.com/viewjob?jk=a6d80dd6308c9bfc&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kelowna , BC",$ 24.00 to $ 34.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9310687139,Not specified
37,construction labourer,"June 12, 2024",Not specified,"June 12, 2024",Companion Construction,Location,Salary:$20.00 to $30.00 hourly,9320170540,https://ca.indeed.com/viewjob?jk=a5927253f04a9120&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}",Metro Vancouver Regional District,$ 20.00 to $ 30.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9320170540,Not specified
38,construction labourer,"June 04, 2024",2024-07-04,"June 04, 2024",JobsPassport,Alberta Park Industrial (AB),Salary not available,104767000001148166,https://job-openings.monster.ca/construction-labourer-emphasis-on-carpentry-renovations-in-canada-alberta-ab-ca-jobspassport/6872b2a8-51d7-4f63-b311-f9d4cf142289?mescoid=4700799001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Alberta Park Industrial , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #104767000001148166,Not specified
