,Job Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,"farm worker, general","June 04, 2024",2024-07-09,"June 04, 2024",NextGeneration Ag Co.,Ardill (SK),Salary:$23.00/hr,1357250,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ardill , SK",$ 23.00 HOUR hourly,Not specified,Starts as soon as possible,Not specified,SaskJobs #1357250,Not specified
1,"farm worker, general","June 03, 2024",2024-07-03,"June 03, 2024",McCain Foods,Carberry (MB),Salary not available,2068124,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Carberry , MB",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2068124,Not specified
2,general farm worker - harvesting,"March 15, 2024",2024-07-07,"March 15, 2024",Swift Connect INC,Delta (BC),Salary:$16.75 hourly,2839368,"{'Language Requirement': 'English', 'Experience Requirement': 'Experience an asset', 'Benefits': []}","Delta , BC",$ 16.75 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as possible,20,Job Bank #2839368,Permanent placement opportunity
3,"farm worker, grain","June 11, 2024",Not specified,"June 11, 2024",The Andersons Inc.,Bethany (ON),Salary not available,960228,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Bethany , ON",Not available,Seasonal employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #960228,Not specified
4,"farm worker, general","June 04, 2024",2024-07-03,"June 04, 2024",McCain Foods,Florenceville-Bristol (NB),Salary not available,2068125,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Florenceville-Bristol , NB",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2068125,Not specified
5,dairy farm worker,"June 12, 2024",2024-07-12,"June 12, 2024",LA FEDERATION DE L'UPA DE LA  CHAUDIERE-APPALACHES,Sainte-Marie (QC),Salary:$16.00 hourly,447678,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sainte-Marie , QC",$ 16.00 HOUR hourly / 25 hours per week,Permanent employment Part time,Starts as soon as 2024-07-12,1 vacancy,Québec emploi #447678,Not specified
6,"farm worker, hogs","June 06, 2024",2024-07-06,"June 06, 2024",LA FEDERATION DE L'UPA DE LA  CHAUDIERE-APPALACHES,Sainte-Marie (QC),Salary:$23.00 hourly,447003,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sainte-Marie , QC",$ 23.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as 2024-07-06,1 vacancy,Québec emploi #447003,Not specified
7,"farm worker, general","June 06, 2024",2024-07-12,"June 06, 2024",FÉDÉRATION DE L'UPA DE LA CAPITALE-NATIONALE-COTE-NORD,La Malbaie (QC),Salary:$18.00 hourly,446988,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","La Malbaie , QC",$ 18.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as 2024-07-10,1 vacancy,Québec emploi #446988,Not specified
8,"farm worker, general","June 06, 2024",2024-07-20,"June 06, 2024",Fédération de l'UPA de la Montérégie,Saint-Michel (QC),Salary:$23.00 biweekly,424523,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Michel , QC",$ 23 BIWEEKLY bi-weekly / 40 hours per week,Permanent employment Full time,Starts as soon as 2024-03-12,3,Québec emploi #424523,Not specified
9,"farm worker, general","June 06, 2024",2024-07-20,"June 06, 2024",Fédération de l'UPA de la Montérégie,Saint-Michel (QC),Salary:$23.00 hourly,424510,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Michel , QC",$ 23.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as 2024-03-12,3,Québec emploi #424510,Not specified
10,dairy farm worker,"June 05, 2024",2024-07-05,"June 05, 2024",LA FEDERATION DE L'UPA DE LA  CHAUDIERE-APPALACHES,Sainte-Marie (QC),Salary:$17.00 hourly,446793,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sainte-Marie , QC",$ 17.00 HOUR hourly / 10 hours per week,Permanent employment Part time,Starts as soon as 2024-07-05,1 vacancy,Québec emploi #446793,Not specified
11,"farm worker, general","June 05, 2024",2024-06-19,"June 05, 2024",CENTRE D'EMPLOI AGRICOLE D'ABITIBI-TÉMISCAMINGUE,La Morandière (QC),Salary:$20.00 hourly,446686,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","La Morandière , QC",$ 20.00 HOUR hourly / 35 hours per week,Permanent employment Full time,Starts as soon as 2024-07-05,1 vacancy,Québec emploi #446686,Not specified
12,"farm worker, general","May 31, 2024",2024-07-10,"May 31, 2024",FÉDÉRATION DE L'UPA DE LA CAPITALE-NATIONALE-COTE-NORD,Saint-Bernard (QC),Salary:$18.00 hourly,440248,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Bernard , QC",$ 18.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as 2024-05-29,1 vacancy,Québec emploi #440248,Not specified
13,"farm worker, general","May 24, 2024",2024-06-22,"May 24, 2024",McCain Foods,Florenceville-Bristol (NB),Salary not available,1999219,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Florenceville-Bristol , NB",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #1999219,Not specified
14,"farm worker, hogs","June 03, 2024",2024-07-02,"June 03, 2024",Fédération de l'UPA de la Chaudière-Appalaches,Saint-Georges (QC),Salary:$18.00 to $25.00 hourly,13928985,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Georges , QC",$ 18.00 to $ 25.00 HOUR hourly,Seasonal employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13928985,Not specified
15,"labourer, farm","June 03, 2024",Not specified,"June 03, 2024",Larsen Land & Cattle,Radway (AB),Salary not available,9306962124,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Radway , AB",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9306962124,Not specified
16,"farm worker, general","May 21, 2024",2024-06-30,"May 21, 2024",FERME PRES VERTS INC,Saint-Gabriel-de-Rimouski (QC),Salary:$17.00 hourly,444338,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Gabriel-de-Rimouski , QC",$ 17.00 HOUR hourly / 40 hours per week,Permanent employment Part time leading to full time,Starts as soon as 2024-06-21,1 vacancy,Québec emploi #444338,Not specified
17,farm hand - livestock,"June 05, 2024",2024-06-20,"June 05, 2024",LA FEDERATION DE L'UPA DE LA  CHAUDIERE-APPALACHES,Sainte-Marie (QC),Salary:$17.00 hourly,425411,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sainte-Marie , QC",$ 17.00 HOUR hourly / 40 hours per week,Permanent employment Full time,Starts as soon as 2024-03-12,1 vacancy,Québec emploi #425411,Not specified
18,"labourer, farm","May 31, 2024",Not specified,"May 31, 2024",McGillivray Farms,Gray (SK),Salary not available,9303144199,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Gray , SK",Not available,Not specified,Starts as soon as possible,1 vacancy,indeed.com #9303144199,Not specified
19,farm equipment operator,"June 04, 2024",Not specified,"June 04, 2024",Holman Farming Group,Location,Salary not available,959950,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}",Unknown,Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #959950,Not specified
20,farm machinery operator,"May 27, 2024",Not specified,"May 27, 2024",Hoogland Farms Ltd,Falun (AB),Salary:$22.00 to $30.00 hourly,9296045745,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Falun , AB",$ 22.00 to $ 30.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9296045745,Not specified
21,farm labourer - livestock,"June 04, 2024",2024-06-21,"June 04, 2024",Carefoot Farms Ltd,Swift Current (SK),Salary not available,1357098,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Swift Current , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1357098,Not specified
22,dairy farm labourer,"June 12, 2024",2024-07-12,"June 12, 2024",Knittig Farms Ltd.,Annaheim (SK),Salary not available,1347438,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Annaheim , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1347438,Not specified
23,"farm labourer, grain","May 24, 2024",2024-07-31,"May 24, 2024",Johner Farms Ltd.,Midale (SK),Salary:Negotiable,1353853,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Midale , SK",Negotiable,Not specified,Starts as soon as possible,Not specified,SaskJobs #1353853,Not specified
24,farm machinery operator,"May 23, 2024",2024-06-22,"May 23, 2024",Swift Connect INC,Delta (BC),Salary:$23.00 hourly,2931397,"{'Language Requirement': 'English', 'Experience Requirement': '1 year to less than 2 years', 'Benefits': []}","Delta , BC",$ 23.00 HOUR hourly / 30 to 40 hours per week,Permanent employment Full time,Starts as soon as possible,2,Job Bank #2931397,Permanent placement opportunity
25,dairy farm labourer,"May 30, 2024",2024-06-29,"May 30, 2024",LOVHOLM HOLSTEINS,Balgonie (SK),Salary:Starting wage $15/hr.  Increases depending on dependability/experience,1355761,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Balgonie , SK",$ 15.00 HOUR hourly,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355761,Not specified
26,ranch hand,"June 04, 2024",Not specified,"June 04, 2024",Holman Farming Group,Luseland (SK),Salary not available,959940,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Luseland , SK",Not available,Seasonal employment,Starts as soon as possible,1 vacancy,AgCareers.com #959940,Not specified
27,farm equipment operator,"May 31, 2024",Not specified,"May 31, 2024",Richardson International Limited,Bow Island (AB),Salary not available,959720,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Bow Island , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #959720,Not specified
28,farm equipment operator,"June 11, 2024",Not specified,"June 11, 2024",Red River Forage,Ste. Agathe (MB),Salary:$28.00 hourly,9318820888,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ste. Agathe , MB",$ 28.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9318820888,Not specified
29,ranch hand,"May 23, 2024",Not specified,"May 23, 2024",Pallister Farms Livestock Ltd.,Dundalk (ON),Salary not available,959317,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Dundalk , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #959317,Not specified
30,farm equipment operator,"June 06, 2024",Not specified,"June 06, 2024",Richardson International Limited,Barrhead (AB),Salary not available,960046,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Barrhead , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #960046,Not specified
31,stable hand,"June 12, 2024",Not specified,"June 12, 2024",Bogar Farms,Cameron (ON),Salary:$17.00 to $20.00 hourly,9319934213,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Cameron , ON",$ 17.00 to $ 20.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9319934213,Not specified
32,swine technician,"May 21, 2024",2024-06-21,"May 21, 2024",Maple Leaf Agri-Farms,Perdue (SK),Salary:19.00 to 24.00 per hour,1340169,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Perdue , SK",$ 19.00 to $ 24.00 HOUR hourly,Not specified,Starts as soon as possible,Not specified,SaskJobs #1340169,Not specified
33,farm equipment operator,"June 12, 2024",Not specified,"June 12, 2024",CMI Terminal Ltd.,Naicam (SK),Salary not available,960363,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Naicam , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #960363,Not specified
34,farm equipment operator,"June 12, 2024",Not specified,"June 12, 2024",The Andersons Inc.,Bethany (ON),Salary not available,960330,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Bethany , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #960330,Not specified
35,farm equipment operator,"June 11, 2024",Not specified,"June 11, 2024",Wilbur-Ellis Company,Lethbridge (AB),Salary not available,960255,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Lethbridge , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #960255,Not specified
36,farm equipment operator,"June 10, 2024",Not specified,"June 10, 2024",Richardson International Limited,Kindersley (SK),Salary not available,960183,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kindersley , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #960183,Not specified
37,farm equipment operator,"June 07, 2024",Not specified,"June 07, 2024",Richardson International Limited,Portage la Prairie (MB),Salary not available,960108,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Portage la Prairie , MB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #960108,Not specified
38,farm equipment operator,"June 07, 2024",Not specified,"June 07, 2024",Richardson International Limited,Humboldt (SK),Salary not available,960105,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Humboldt , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #960105,Not specified
39,farm equipment operator,"June 06, 2024",Not specified,"June 06, 2024",Richardson International Limited,Whitewood (SK),Salary not available,960045,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Whitewood , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #960045,Not specified
40,farm equipment operator,"June 04, 2024",Not specified,"June 04, 2024",Richardson International Limited,Yorkton (SK),Salary not available,959877,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Yorkton , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #959877,Not specified
41,farm equipment operator,"June 03, 2024",Not specified,"June 03, 2024",Richardson International Limited,Assiniboia (SK),Salary not available,959813,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Assiniboia , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #959813,Not specified
42,farm equipment operator,"May 31, 2024",Not specified,"May 31, 2024",Richardson International Limited,High Level (AB),Salary not available,959724,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","High Level , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #959724,Not specified
43,farm equipment operator,"May 31, 2024",Not specified,"May 31, 2024",Richardson International Limited,Carseland (AB),Salary not available,959725,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Carseland , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #959725,Not specified
44,farm equipment operator,"May 29, 2024",Not specified,"May 29, 2024",Richardson International Limited,Canora (SK),Salary not available,959604,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Canora , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,AgCareers.com #959604,Not specified
