Index,Job Title,Original Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,"technician, forestry",Title posted on indeed.com -Forestry Technician,"May 14, 2024",Not specified,"May 14, 2024",Saugeen Valley Conservation Authority,Mildmay (ON),"Salary:$64,095.00 to $75,944.00 annually",9279074941,https://ca.indeed.com/viewjob?jk=fc12610e06c2332c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mildmay , ON","$ 64,095 to $ 75,944 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9279074941,Not specified
1,forestry technician,Title posted on CivicJobs.ca -Urban Forestry - Park Technician (Shade Trees),"May 27, 2024",2024-06-17,"May 27, 2024",City of Surrey,Surrey (BC),Salary:$43.30 hourly,94859,https://www.civicjobs.ca/jobs?id=94859,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC",$ 43.30 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #94859,Not specified
2,"technician, forestry",Title posted on indeed.com -Forestry Technician,"June 11, 2024",Not specified,"June 11, 2024",CCI Group of Companies,Prince George (BC),Salary:$25.00 to $30.00 hourly,9318555484,https://ca.indeed.com/viewjob?jk=d88a1a052c554db3&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Prince George , BC",$ 25.00 to $ 30.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9318555484,Not specified
3,"technician, forestry",Title posted on indeed.com -Forestry Technician,"June 11, 2024",Not specified,"June 11, 2024",CCI Group of Companies,Fort St. John (BC),Salary:$25.00 to $30.00 hourly,9318562054,https://ca.indeed.com/viewjob?jk=dbf494923ceac87e&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Fort St. John , BC",$ 25.00 to $ 30.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9318562054,Not specified
4,"technician, forestry",Title posted on indeed.com -Forestry Technician,"June 11, 2024",Not specified,"June 11, 2024",CCI Group of Companies,Fort Nelson (BC),Salary:$25.00 to $30.00 hourly,9318563676,https://ca.indeed.com/viewjob?jk=24122005bce93ce5&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Fort Nelson , BC",$ 25.00 to $ 30.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9318563676,Not specified
5,forestry technician,Title posted on Québec emploi -Technicien technicienne en foresterie,"May 31, 2024",2024-07-12,"May 31, 2024",AGENCE REGIONALE DE MISE EN   VALEUR FO.PRI.GASPESIE-LES-ILE,New Richmond (QC),"Salary:$41,055.00 hourly",435775,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=435775,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","New Richmond , QC","$ 41,055.00 HOUR hourly / 35 hours per week",Permanent employment Full time,Starts as soon as 2024-06-01,1 vacancy,Québec emploi #435775,Not specified
6,forestry technician,Title posted on Québec emploi -Emploi étudiant - technicien technicienne en foresterie - __52,"May 30, 2024",2024-07-05,"May 30, 2024",MINISTERE DES RESSOURCES NATURELLES ET DES FORÊTS,Baie-Comeau (QC),Salary:$20.07 hourly,445873,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=445873,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Baie-Comeau , QC",$ 20.07 HOUR hourly / 38.75 hours per week,Casual employment Full time,Starts as soon as 2024-06-30,1 vacancy,Québec emploi #445873,Not specified
7,forestry technician,Title posted on Québec emploi -technicien technicienne en foresterie,"June 03, 2024",2024-07-16,"June 03, 2024",SOCIETE SYLVICOLE MISTASSINI  LTEE,Dolbeau-Mistassini (QC),Salary not available,439198,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=439198,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Dolbeau-Mistassini , QC",Not available,Seasonal employment Full time,Starts as soon as 2024-05-22,1 vacancy,Québec emploi #439198,Not specified
8,forestry technician,Title posted on Jobillico -Technicienne ou technicien en foresterie et en gestion du territoire - Possibilité de compenser la scolarité exigée,"June 11, 2024",2024-07-10,"June 11, 2024",Ministère des Ressources naturelles et des Forêts,Caplan (QC),Salary not available,13987416,https://www.jobillico.com/en/job-offer/ministere-des-ressources-naturelles-et-des-forets/technicienne-ou-technicien-en-foresterie-et-en-gestion-du-territoire-possibilit-eacute-de-compenser-la-scolarit-eacute-exig-eacute-e/13987416?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Caplan , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #13987416,Not specified
9,forest engineering technician,Title posted on Jobillico -Technicien forestier,"June 02, 2024",2024-07-01,"June 02, 2024",SOPFIM - Société de protection des forêts contre les insectes et maladies,Baie-Comeau (QC),Salary:$25.25 hourly,13317645,https://www.jobillico.com/en/job-offer/sopfim---societe-de-protection-des-foret.qLukSy/technicien-forestier/13317645?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Baie-Comeau , QC",$ 25.25 HOUR hourly,Term or contract Full time,Starts as soon as possible,1 vacancy,Jobillico #13317645,Not specified
10,forest engineering technician,Title posted on Jobillico -Technicien forestier,"June 02, 2024",2024-07-01,"June 02, 2024",SOPFIM - Société de protection des forêts contre les insectes et maladies,Rimouski (QC),Salary:$25.25 hourly,13317633,https://www.jobillico.com/en/job-offer/sopfim---societe-de-protection-des-foret.qLukSy/technicien-forestier/13317633?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Rimouski , QC",$ 25.25 HOUR hourly,Term or contract Full time,Starts as soon as possible,1 vacancy,Jobillico #13317633,Not specified
11,forest engineering technician,Title posted on Québec emploi -Technicien forestier technicienne forestière (#75),"June 03, 2024",2024-06-19,"June 03, 2024",Service de placement du C.A.R.E. Montmagny-L'Islet,Montmagny (QC),Salary not available,437441,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=437441,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montmagny , QC",Not available,Permanent employment Full time,Starts as soon as 2024-07-21,1 vacancy,Québec emploi #437441,In-house position at the agency
12,forest engineering technician,Title posted on Jobillico -Technicien forestier   technicienne forestière,"June 12, 2024",2024-07-11,"June 12, 2024",Rexforêt,La Tuque (QC),Salary not available,13790760,https://www.jobillico.com/en/job-offer/rexforet/technicien-forestier-technicienne-forestiere/13790760?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","La Tuque , QC",Not available,Seasonal employment Full time,Starts as soon as possible,1 vacancy,Jobillico #13790760,Not specified
13,forest engineering technician,Title posted on Jobillico -Technicien forestier,"June 03, 2024",2024-07-02,"June 03, 2024",Coopérative Forestière de Girardville,Girardville (QC),Salary not available,13534086,https://www.jobillico.com/en/job-offer/cooperative-forestiere-de-girardville.uTygTb/technicien-forestier/13534086?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Girardville , QC",Not available,Term or contract Full time,Starts as soon as possible,1 vacancy,Jobillico #13534086,Not specified
14,forest engineering technician,Title posted on Jobillico -Technicien forestier   Technicienne forestière,"May 18, 2024",2024-06-16,"May 18, 2024",Rexforêt,Val-d'Or (QC),Salary not available,12015950,https://www.jobillico.com/en/job-offer/rexforet/technicien-forestier-technicienne-forestiere/12015950?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Val-d'Or , QC",Not available,Seasonal employment Full time,Starts as soon as possible,1 vacancy,Jobillico #12015950,Not specified
15,forest protection coordinator,Title posted on Québec emploi -AGENT.E DE MAILLAGE - La Table des MRC du Centre-du-Québec,"May 28, 2024",2024-06-27,"May 28, 2024",ALTITUDE RESSOURCES HUMAINES  INC.,Nicolet (QC),Salary:$23.26 hourly,445366,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=445366,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Nicolet , QC",$ 23.26 HOUR hourly / 35 hours per week,Term or contract Full time,Starts as soon as 2024-08-01,1 vacancy,Québec emploi #445366,In-house position at the agency
16,silviculturist,Title posted on Jobillico -Outdoor Maintenance Position,"June 07, 2024",2024-07-06,"June 07, 2024",Mont SUTTON,Sutton (QC),Salary not available,6743194,https://www.jobillico.com/en/job-offer/mont-sutton/outdoor-maintenance-position/6743194?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sutton , QC",Not available,Seasonal employment Full time,Starts as soon as possible,4,Jobillico #6743194,Not specified
17,scalers supervisor,Title posted on Jobillico -superviseur des opérations forestières,"May 30, 2024",2024-06-28,"May 30, 2024",Produits forestiers Résolu,Dolbeau-Mistassini (QC),Salary not available,11985377,https://www.jobillico.com/en/job-offer/produits-forestiers-resolu/superviseur-des-op-eacute-rations-foresti-egrave-res/11985377?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Dolbeau-Mistassini , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #11985377,Not specified
