Job Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
IT (information technology) development manager,"June 10, 2024",2024-06-24,"June 10, 2024",Metro Vancouver,Burnaby (BC),"Salary: $3,785.23 biweekly",95295,https://www.civicjobs.ca/jobs?id=95295,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Burnaby , BC","$ 3,785.23 BIWEEKLY bi-weekly",Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95295,Not specified
information technology (IT) development manager,"June 02, 2024",2024-07-01,"June 02, 2024",Nisga?a School District No. 92,Aiyansh (BC),Salary not available,13732500,https://www.jobillico.com/en/job-offer/nisga-a-school-district-no-92/23-45-information-technology-manager/13732500?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Aiyansh , BC",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13732500,Not specified
information technology (IT) development manager,"May 31, 2024",2024-06-29,"May 31, 2024",School District #27 (Cariboo-Chilcotin),Williams Lake (BC),Salary not available,13916676,https://www.jobillico.com/en/job-offer/school-district-27-cariboo-chilcotin/manager-of-information-technology/13916676?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Williams Lake , BC",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13916676,Not specified
"manager, information technology (IT) integration","May 31, 2024",2024-07-30,"May 31, 2024",School District #27 (Cariboo-Chilcotin),Williams Lake (BC),Salary not available,2774313,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=19130f10-f5d0-4311-bd3e-730a85c18943&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Williams Lake , BC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ApplyToEducation #2774313,Not specified
information technology (IT) business analyst,"May 29, 2024",2024-06-29,"May 29, 2024",ApTask,Calgary (AB),Salary not available,23-07223,https://job-openings.monster.ca/sr-power-bi-developer-calgary-ab-ca-aptask/3cff35e2-3dd0-4d95-8125-5f9f4f873ca6?mescoid=1500127001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #23-07223,Not specified
information technology (IT) development manager,"June 03, 2024",2024-07-02,"June 03, 2024",Soucy,Drummondville (QC),Salary not available,13742265,https://www.jobillico.com/en/job-offer/soucy/director-of-information-technology-and-continuous-improvement/13742265?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Drummondville , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #13742265,Not specified
IT (information technology) development manager,"May 31, 2024",2024-06-14,"May 31, 2024",City of Surrey,Surrey (BC),Salary: $55.86 hourly,95036,https://www.civicjobs.ca/jobs?id=95036,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC",$ 55.86 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95036,Not specified
information technology (IT) development manager,"June 05, 2024",2024-06-18,"June 05, 2024",Newfoundland Labrador Liquor Corporation,St. John's (NL),"Salary: $80,242.50 annually",MB2406059794,https://www.careerbeacon.com/en/job/2069794/newfoundland-labrador-liquor-corporation/it-project-team-lead/st-john-s?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","St. John's , NL","$ 80,242.5 YEAR annually",Full time,Starts as soon as possible,1 vacancy,CareerBeacon #MB2406059794,Not specified
information technology (IT) development manager,"May 31, 2024",2024-07-01,"May 31, 2024",Pursuit Collection,Vancouver (BC),Salary not available,61fa299270794188a61413c1ab2bb40c,https://job-openings.monster.ca/it-manager-vancouver-bc-ca-pursuit-collection/07e17738-58d7-431f-ba6f-18c214ad5f60?mescoid=1100011001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #61fa299270794188a61413c1ab2bb40c,Not specified
"analyst, information technology (IT)","May 15, 2024",2024-06-14,"May 15, 2024",Kativik Ilisarniliriniq (La commission scolaire du Nunavik),Montréal (QC),Salary not available,103667,https://emploisti.com/en/offer/analyst/103667?utm_campaign=jobbank_jobs_apply&utm_source=jobbank_jobs_apply&utm_medium=organic,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Full time,Starts as soon as possible,1 vacancy,JobsMedia.ca #103667,Not specified
information technology (IT) development manager,"May 31, 2024",2024-07-01,"May 31, 2024",FlyOver Attractions by Pursuit Collection,Vancouver (BC),Salary not available,25fc79a7a971408aa806b328bf9d7a4f,https://job-openings.monster.ca/it-manager-vancouver-bc-ca-flyover-attractions-by-pursuit-collection/8ffcda26-66a9-4a9c-a5db-38f94ebfe038?mescoid=1100011001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Vancouver , BC",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #25fc79a7a971408aa806b328bf9d7a4f,Not specified
informatics business analyst,"June 04, 2024",2024-07-11,"June 04, 2024",Department of Health,Fredericton (NB),Salary not available,35-24-0011,https://www.careerbeacon.com/en/job/2068894/department-of-health/senior-business-analyst/fredericton?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Fredericton , NB",Not available,Full time,Starts as soon as possible,Not specified,CareerBeacon #35-24-0011,Not specified
information technology (IT) business analyst,"June 08, 2024",2024-07-07,"June 08, 2024",Purolator,Mississauga (ON),Salary not available,13975242,https://www.jobillico.com/en/job-offer/purolator/technology-business-analyst-finance-and-controlling-job-details-purolator/13975242?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #13975242,Not specified
information technology (IT) development manager,"May 30, 2024",2024-06-30,"May 30, 2024",Proviso Consulting,Toronto (ON),Salary not available,12053,https://job-openings.monster.ca/it-project-manager-–-software-toronto-on-ca-proviso-consulting/5c4f7bc0-4cd3-4d84-84ef-95ba0823413e?mescoid=1500145001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #12053,Not specified
information technology (IT) business analyst,"June 06, 2024",2024-07-06,"June 06, 2024",Mariner Innovations,Fredericton (NB),Salary not available,DF55-345718236,https://job-openings.monster.ca/senior-power-bi-developer-fredericton-nb-ca-mariner-innovations/ebfd93ee-959e-4527-9bc6-96598caaae88?mescoid=1500127001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Fredericton , NB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #DF55-345718236,Not specified
information technology (IT) implementation manager,"May 21, 2024",2024-06-21,"May 21, 2024",Surrey Police Service,Surrey (BC),Salary: $55.86 hourly,94639,https://www.civicjobs.ca/jobs?id=94639,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC",$ 55.86 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #94639,Not specified
information technology (IT) business analyst,"May 26, 2024",2024-06-25,"May 26, 2024",Cooke Aquaculture Inc.,Saint John (NB),Salary not available,2035636,https://www.careerbeacon.com/en/job/2035636/cooke-aquaculture-inc/it-business-management-analyst/saint-john?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint John , NB",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2035636,Not specified
information technology (IT) business analyst,"May 26, 2024",2024-06-25,"May 26, 2024",Cooke Aquaculture Inc.,Saint John (NB),Salary not available,2035636,https://www.careerbeacon.com/en/job/2035636/cooke-aquaculture-inc/it-business-management-analyst/saint-john?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint John , NB",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2035636,Not specified
IT (information technology) business analyst,"June 01, 2024",2024-06-30,"June 01, 2024",Scotiabank,Toronto (ON),Salary not available,2039559,https://www.careerbeacon.com/en/job/2039559/scotiabank/technical-business-analyst-capital-markets-technology-efx/toronto?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2039559,Not specified
IT (information technology) business analyst,"June 01, 2024",2024-07-05,"June 01, 2024",Scotiabank,Toronto (ON),Salary not available,2039579,https://www.careerbeacon.com/en/job/2039579/scotiabank/business-analyst-specialist-broadridge/toronto?utm_campaign=feeds&utm_source=jobbank&utm_medium=Careerbeacon,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Full time,Starts as soon as possible,1 vacancy,CareerBeacon #2039579,Not specified
information technology (IT) integration manager,"June 05, 2024",2024-07-04,"June 05, 2024",National Bank,Montréal (QC),Salary not available,13947156,https://www.jobillico.com/en/job-offer/national-bank/integrator-ciam-automation-development/13947156?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13947156,Not specified
information technology (IT) business analyst,"May 24, 2024",2024-06-24,"May 24, 2024",Appcast,Fredericton (NB),Salary not available,ac14a5de-2051-4a3d-95d2-87c11cc2116b,https://job-openings.monster.ca/business-intelligence-analyst-fredericton-nb-ca-appcast/b9ae42d5-1ac0-4763-8a97-018bdc928fdf?mescoid=1500144001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Fredericton , NB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #ac14a5de-2051-4a3d-95d2-87c11cc2116b,Not specified
"manager, information technology (IT) integration","May 31, 2024",2024-07-30,"May 31, 2024",London District Catholic School Board,London (ON),Salary not available,2774207,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=f7e1b183-83f9-47a1-85b1-1c1bb5998ddc&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","London , ON",Not available,Permanent employment Part time,Starts as soon as possible,1 vacancy,ApplyToEducation #2774207,Not specified
"manager, information systems","June 05, 2024",2024-07-06,"June 05, 2024",ARC Business Solutions,Edmonton (AB),Salary not available,mj9o42NUWK,https://job-openings.monster.ca/scrum-master-edmonton-ab-ca-arc-business-solutions/9c60817b-e433-4195-b873-1b751539998f?mescoid=1300093001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Edmonton , AB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #mj9o42NUWK,Not specified
help desk manager - information technology (IT),"June 04, 2024",2024-07-02,"June 04, 2024",University of the Fraser Valley,Abbotsford (BC),"Salary: $92,139.00 annually",95119,https://www.civicjobs.ca/jobs?id=95119,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Abbotsford , BC","$ 92,139 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95119,Not specified
information technology (IT) business analyst,"June 08, 2024",2024-07-09,"June 08, 2024",Atlantis IT group,Toronto (ON),Salary not available,10701-9738,https://job-openings.monster.ca/microsoft-power-bi-developer-toronto-on-ca-atlantis-it-group/0adf8962-698a-4c21-b30d-092ff96384a4?mescoid=1500127001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #10701-9738,Not specified
IT (information technology) business analyst,"June 03, 2024",2024-06-15,"June 03, 2024",Université de Montréal,Montréal (QC),"Salary: $70,555.00 annually",446449,https://www.quebecemploi.gouv.qc.ca/plateforme-emploi/?lang=en&ide_poste=446449,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC","$ 70,555 YEAR annually / 35 hours per week",Permanent employment Full time,Starts as soon as 2024-07-17,1 vacancy,Québec emploi #446449,Not specified
information technology (IT) development manager,"May 24, 2024",2024-06-24,"May 24, 2024",Xerox,Winnipeg (MB),Salary not available,34E98997BAF948CBB73673F745234992,https://job-openings.monster.ca/it-project-manager-winnipeg-mb-ca-xerox/dc58c1d8-4cb0-4db0-8726-7415207f4b15?mescoid=1500145001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Winnipeg , MB",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #34E98997BAF948CBB73673F745234992,Not specified
"manager, information technology (IT) integration","May 29, 2024",2024-07-28,"May 29, 2024",Superior North Catholic District School Board,Terrace Bay (ON),Salary not available,2773714,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=dcef304f-81b9-46c0-bae7-a87124bfb51e&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Terrace Bay , ON",Not available,Permanent employment,Starts as soon as possible,1 vacancy,ApplyToEducation #2773714,Not specified
"manager, information technology (IT) integration","May 15, 2024",2024-07-14,"May 15, 2024",Waterloo Region District School Board,Kitchener (ON),Salary not available,2771383,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=adff7e50-5f5d-4695-acc9-f184904b59b7&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kitchener , ON",Not available,Permanent employment Part time,Starts as soon as possible,1 vacancy,ApplyToEducation #2771383,Not specified
"manager, information technology (IT) integration","May 15, 2024",2024-07-14,"May 15, 2024",Waterloo Region District School Board,Kitchener (ON),Salary not available,2771405,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=d2b473f2-d409-4f26-b5d1-ad70f850f93c&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kitchener , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ApplyToEducation #2771405,Not specified
"manager, information technology (IT) integration","May 15, 2024",2024-07-14,"May 15, 2024",Waterloo Region District School Board,Kitchener (ON),Salary not available,2771410,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=a1aa48db-0d57-4914-ac0b-97156f5ffc8a&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kitchener , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ApplyToEducation #2771410,Not specified
"manager, information technology (IT) integration","May 15, 2024",2024-07-14,"May 15, 2024",Waterloo Region District School Board,Kitchener (ON),Salary not available,2771434,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=e98cde45-9de5-4be1-9bda-4ea99f4d2ed7&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Kitchener , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ApplyToEducation #2771434,Not specified
"manager, information technology (IT) integration","May 15, 2024",2024-07-14,"May 15, 2024",Waterloo Region District School Board,Waterloo (ON),Salary not available,2771409,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=46b8cd2d-618f-4547-bd94-9b98f44e55fb&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Waterloo , ON",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ApplyToEducation #2771409,Not specified
help desk manager - information technology (IT),"May 25, 2024",2024-07-24,"May 25, 2024",Pythagoras Academy,Richmond (BC),Salary not available,2773282,https://network.applytoeducation.com/Applicant/jobposting/jobdetails.aspx?JOB_POSTING_ID=31ada049-75e9-46d6-8f0e-097053dc88f7&amp;PAGE=1&amp;locale=en&amp;maf=0,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Richmond , BC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,ApplyToEducation #2773282,Not specified
information technology (IT) business analyst,"May 24, 2024",2024-06-24,"May 24, 2024",Toronto Parking Authority,Toronto (ON),Salary not available,x9m87GFSuc,https://job-openings.monster.ca/analyst-business-intelligence-reporting-toronto-on-ca-toronto-parking-authority/7aa565d0-fa16-46b7-a19a-f7252238a74e?mescoid=1500144001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Toronto , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #x9m87GFSuc,Not specified
director of technology management,"June 07, 2024",2024-07-06,"June 07, 2024",National Bank,Montréal (QC),Salary not available,13969149,https://www.jobillico.com/en/job-offer/national-bank/it-asset-management-manager/13969149?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Full time,Starts as soon as possible,1 vacancy,Jobillico #13969149,Not specified
