,Job Title,Posted Date,Advertised Until,Job Source,Verified Status,Job Description,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
1,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
2,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
3,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
4,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
5,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
6,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
7,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
8,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
9,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
10,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
11,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
12,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
13,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
14,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
15,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
16,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
17,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
18,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
19,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
20,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
21,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
22,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
23,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
24,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
25,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
26,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
27,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
28,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
29,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
30,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
31,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
32,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
33,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
34,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
35,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
36,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
37,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
38,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
39,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
40,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
41,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
42,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
43,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
44,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
45,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
46,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
47,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
48,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
49,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
50,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
51,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
52,Construction site supervisor,"May 29, 2024",2024-06-28,Job Bank,Verified,This job was posted directly by the employer on Job Bank.,"May 29, 2024",Brandt Group of Companies,Regina (SK),Salary not available,1355167,http://www.saskjobs.ca/jsp/joborder/detail.jsp?job_order_id=1355167,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Regina , SK",Not available,Not specified,Starts as soon as possible,Not specified,SaskJobs #1355167,Not specified
