Title,Link,Facility,Location,Shift Type,Competition,Department,Type of Employment,Union Status,Closing Date,Pay Grade,Salary Range
Motor Vehicle Officer 2 (Compliance Station Inspector) (Designated) (Enfield) , https://jobs.novascotia.ca/job/ENFIELD-Motor-Vehicle-Officer-2-%28Compliance-Station-Inspector%29-%28Designated%29-%28Enfield%29-NS-B2T-1J6/582198717/ ,Public Works Location: ENFIELD, NS, CA, B2T 1J6 Shift Type: 08-Jul-24 Additional Data: {'Competition': '43398', 'Department': 'Public Works', 'Location': 'ENFIELD', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '08-Jul-24', 'Pay Grade': 'TE 22', 'Salary Range': 'Salary Range:\xa0 $2,189.32\xa0- $2,574.66\xa0Bi-Weekly'}
Clerk 3 (Enrollment Clerk) , https://jobs.novascotia.ca/job/NEW-WATERFORD-Clerk-3-%28Enrollment-Clerk%29-NS-B1H-5V8/582205517/ ,Justice Location: NEW WATERFORD, NS, CA, B1H 5V8 Shift Type: 08-Jul-24 Additional Data: {'Competition': '43351', 'Department': 'Justice', 'Location': 'NEW WATERFORD', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '08-Jul-24', 'Pay Grade': 'CL 18', 'Salary Range': 'Salary Range:\xa0 $1,684.00\xa0- $1,884.17\xa0Bi-Weekly'}
Motor Vehicle Officer 2 (Compliance Station Inspector) (Amherst) (2 Positions) , https://jobs.novascotia.ca/job/AMHERST-Motor-Vehicle-Officer-2-%28Compliance-Station-Inspector%29-%28Amherst%29-%282-Positions%29-NS-B4H-3Y5/582200917/ ,Public Works Location: AMHERST, NS, CA, B4H 3Y5 Shift Type: 08-Jul-24 Additional Data: {'Competition': '43399', 'Department': 'Public Works', 'Location': 'AMHERST', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '08-Jul-24', 'Pay Grade': 'TE 22', 'Salary Range': 'Salary Range:\xa0 $2,189.32\xa0- $2,574.66\xa0Bi-Weekly'}
Deputy Sheriff 1-2 (Relief Roster) , https://jobs.novascotia.ca/job/Multiple-Locations-Deputy-Sheriff-1-2-%28Relief-Roster%29-NS-B3J-1V7/579610717/ ,Justice Location: Multiple Locations, NS, CA, B3J 1V7 Shift Type: 30-Jun-24 Additional Data: {'Competition': '42336', 'Department': 'Justice', 'Location': 'Multiple Locations', 'Type of Employment': 'Casual', 'Union Status': 'Not found', 'Closing Date': '30-Jun-24', 'Pay Grade': 'TE 19\xa0- TE 21', 'Salary Range': 'Salary Range:\xa0 $27.66\xa0- $35.23\xa0Hourly'}
Crown Attorney , https://jobs.novascotia.ca/job/SHELBURNE-Crown-Attorney-NS-B0T-1W0/579822017/ ,Public Prosecution Service Location: SHELBURNE, NS, CA, B0T 1W0 Shift Type: 02-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Not found', 'Location': 'Not found', 'Type of Employment': 'Not found', 'Union Status': 'Not found', 'Closing Date': 'Not found', 'Pay Grade': 'CA 01\xa0- SCA 10', 'Salary Range': 'Salary Range:\xa0 $3,185.77\xa0- $5,877.68\xa0Bi-Weekly'}
Correctional Officer (Casual Relief) , https://jobs.novascotia.ca/job/Multiple-Locations-Correctional-Officer-%28Casual-Relief%29-NS-B3J-1T0/575497217/ ,Justice Location: Multiple Locations, NS, CA, B3J 1T0 Shift Type: 03-Nov-24 Additional Data: {'Competition': 'Not found', 'Department': 'Not found', 'Location': 'Not found', 'Type of Employment': '03-Nov-24', 'Union Status': 'Not found', 'Closing Date': 'Not found', 'Pay Grade': 'Not found', 'Salary Range': 'Not found'}
Dispatch Operator 1 (Temporary and Relief Opportunities) , https://jobs.novascotia.ca/job/SHUBENACADIE-Dispatch-Operator-1-%28Temporary-and-Relief-Opportunities%29-NS-B0N-2H0/581191317/ ,Service Nova Scotia Location: SHUBENACADIE, NS, CA, B0N 2H0 Shift Type: 04-Jul-24 Additional Data: {'Competition': '42892', 'Department': 'Service Nova Scotia', 'Location': 'SHUBENACADIE', 'Type of Employment': 'Term', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '04-Jul-24', 'Pay Grade': 'TE 17', 'Salary Range': 'Salary Range:\xa0 $1,792.63\xa0- $2,105.04\xa0Bi-Weekly'}
Team Lead (Dispatch Operator 2) , https://jobs.novascotia.ca/job/SHUBENACADIE-Team-Lead-%28Dispatch-Operator-2%29-NS-B0N-2H0/581027717/ ,Service Nova Scotia Location: SHUBENACADIE, NS, CA, B0N 2H0 Shift Type: 04-Jul-24 Additional Data: {'Competition': '42894', 'Department': 'Service Nova Scotia', 'Location': 'SHUBENACADIE', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '04-Jul-24', 'Pay Grade': 'TE 21', 'Salary Range': 'Salary Range:\xa0 $2,105.04\xa0- $2,466.26\xa0Bi-Weekly'}
Child & Youth Care Practitioner (Relief Roster) (Counsellor 2AB) , https://jobs.novascotia.ca/job/BRIDGEWATER-Child-&-Youth-Care-Practitioner-%28Relief-Roster%29-%28Counsellor-2AB%29-NS-B4V-5S7/580201517/ ,Community Services Location: BRIDGEWATER, NS, CA, B4V 5S7 Shift Type: 16-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Not found', 'Location': 'Not found', 'Type of Employment': '16-Jul-24', 'Union Status': 'Not found', 'Closing Date': 'Not found', 'Pay Grade': 'Not found', 'Salary Range': 'Not found'}
Assistant Curator (Registrar) Marine History (Historical/Archival/Cultural Officer 2) , https://jobs.novascotia.ca/job/HALIFAX-Assistant-Curator-%28Registrar%29-Marine-History-%28HistoricalArchivalCultural-Officer-2%29-NS-B3J-1S3/582159617/ ,Communities, Culture, Tourism & Heritage Location: HALIFAX, NS, CA, B3J 1S3 Shift Type: 12-Jul-24 Additional Data: {'Competition': '43343', 'Department': 'Department:\xa0Communities, Culture, Tourism & Heritage', 'Location': 'Location:\xa0HALIFAX', 'Type of Employment': 'Type of Employment:\xa0Term', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa0\u200b12-Jul-24\xa0\u200b\xa0(Applications are accepted until 11:59 PM Atlantic Time)', 'Pay Grade': 'PR 10', 'Salary Range': 'Salary Range:\xa0 $2,262.74\xa0- $2,760.42\xa0Bi-Weekly'}
Industry Training Consultant (Program Admin Officer 3) (Designated) , https://jobs.novascotia.ca/job/HALIFAX-Industry-Training-Consultant-%28Program-Admin-Officer-3%29-%28Designated%29-NS-B3J-2S9/582174817/ ,Labour, Skills and Immigration Location: HALIFAX, NS, CA, B3J 2S9 Shift Type: 05-Jul-24 Additional Data: {'Competition': '43357', 'Department': 'Labour, Skills and Immigration', 'Location': 'HALIFAX', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '05-Jul-24', 'Pay Grade': 'PR 13', 'Salary Range': 'Salary Range:\xa0 $2,556.10\xa0- $3,107.16\xa0Bi-Weekly'}
Human Rights Officer 1(A)-(B)-2(A)-(B)-3  (Designated) , https://jobs.novascotia.ca/job/Multiple-Locations-Human-Rights-Officer-1%28A%29-%28B%29-2%28A%29-%28B%29-3-%28Designated%29-NS-B3J3C4/582158317/ ,Human Rights Commission Location: Multiple Locations, NS, CA, B3J3C4 Shift Type: 05-Jul-24 Additional Data: {'Competition': '43340', 'Department': 'Department:\xa0Human Rights Commission', 'Location': 'Location:\xa0Multiple Locations', 'Type of Employment': 'Type of Employment:\xa0Permanent', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa005-Jul-24\xa0\xa0(Applications are accepted until 11:59 PM Atlantic Time)', 'Pay Grade': 'PR 04\xa0- PR 14', 'Salary Range': 'Salary Range:\xa0 $1,773.75\xa0- $3,231.58\xa0Bi-Weekly'}
Articled Clerk (Public Prosecution Service) , https://jobs.novascotia.ca/job/HALIFAX-Articled-Clerk-%28Public-Prosecution-Service%29-NS-B3J-0E8/582169717/ ,Public Prosecution Service Location: HALIFAX, NS, CA, B3J 0E8 Shift Type: 01-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Public Prosecution Service', 'Location': 'Location:\xa0HALIFAX', 'Type of Employment': 'Type of Employment:\xa0Contract', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa001-Jul-24', 'Pay Grade': 'Not found', 'Salary Range': 'Pay Grade:\xa0 BIWEEKLY'}
Privacy Specialist (Program Admin Officer 4) , https://jobs.novascotia.ca/job/HALIFAX-Privacy-Specialist-%28Program-Admin-Officer-4%29-NS-B3J2L4/582149117/ ,Service Nova Scotia Location: HALIFAX, NS, CA, B3J2L4 Shift Type: 05-Jul-24 Additional Data: {'Competition': '43335', 'Department': 'Service Nova Scotia', 'Location': 'HALIFAX', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '05-Jul-24', 'Pay Grade': 'PR 17', 'Salary Range': 'Salary Range:\xa0 $3,107.16\xa0- $3,649.33\xa0Bi-Weekly'}
Senior Data Analyst (Research & Stat Officer 4) (Hiring Pool) , https://jobs.novascotia.ca/job/HALIFAX-Senior-Data-Analyst-%28Research-&-Stat-Officer-4%29-%28Hiring-Pool%29-NS-B3J-2R8/582177117/ ,Health and Wellness Location: HALIFAX, NS, CA, B3J 2R8 Shift Type: 05-Jul-24 Additional Data: {'Competition': '43326', 'Department': 'Health and Wellness', 'Location': 'HALIFAX', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '05-Jul-24', 'Pay Grade': 'PR 15', 'Salary Range': 'Salary Range:\xa0 $2,760.42\xa0- $3,364.90\xa0Bi-Weekly'}
Senior Policy Analyst (Program Admin Officer 4) , https://jobs.novascotia.ca/job/HALIFAX-Senior-Policy-Analyst-%28Program-Admin-Officer-4%29-NS-B3J-1V7/582178217/ ,Natural Resources & Renewables Location: HALIFAX, NS, CA, B3J 1V7 Shift Type: 05-Jul-24 Additional Data: {'Competition': '42884', 'Department': 'Natural Resources & Renewables', 'Location': 'HALIFAX', 'Type of Employment': 'Term', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '05-Jul-24', 'Pay Grade': 'PR 17', 'Salary Range': 'Salary Range:\xa0 $3,107.16\xa0- $3,649.33\xa0Bi-Weekly'}
Secretary 3 (Administrative Assistant) , https://jobs.novascotia.ca/job/HALIFAX-Secretary-3-%28Administrative-Assistant%29-NS-B3J-2P8/582177417/ ,Seniors and Long-Term Care Location: HALIFAX, NS, CA, B3J 2P8 Shift Type: 05-Jun-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Seniors and Long-Term Care', 'Location': 'Location:\xa0HALIFAX', 'Type of Employment': 'Type of Employment:\xa0Permanent', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa005-Jun-24', 'Pay Grade': 'Not found', 'Salary Range': 'Pay Grade:\xa0 EC 05'}
Operations Supervisor (Spry Bay or Middle Musquodoboit) , https://jobs.novascotia.ca/job/SPRY-BAY-Operations-Supervisor-%28Spry-Bay-or-Middle-Musquodoboit%29-NS-B0J-1N0/582153817/ ,Public Works Location: SPRY BAY, NS, CA, B0J 1N0 Shift Type: 05-Jul-24 Additional Data: {'Competition': '43389', 'Department': 'Department:\xa0Public Works', 'Location': 'Location:\xa0Spry Bay or Middle Musquodoboit', 'Type of Employment': 'Type of Employment:\xa0Permanent', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa0\u200b05-Jul-24\xa0\u200b\xa0(Applications are accepted until 11:59 PM Atlantic Time)', 'Pay Grade': 'TE 26', 'Salary Range': 'Salary Range:\xa0 $2,574.66\xa0- $3,008.06\xa0Bi-Weekly'}
Procurement Specialist- Clinical Procurement (Program Admin Officer 3) , https://jobs.novascotia.ca/job/HALIFAX-Procurement-Specialist%2C-Clinical-Procurement-%28Program-Admin-Officer-3%29-NS-B3J1M7/582144017/ ,Service Nova Scotia Location: HALIFAX, NS, CA, B3J1M7 Shift Type: 12-Jul-24 Additional Data: {'Competition': '43367', 'Department': 'Service Nova Scotia', 'Location': 'HALIFAX', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '12-Jul-24', 'Pay Grade': 'PR 13', 'Salary Range': 'Salary Range:\xa0 $2,556.10\xa0- $3,107.16\xa0Bi-Weekly'}
Inspector/Checker/Weigher (Year Round) (Sydney River) , https://jobs.novascotia.ca/job/SYDNEY-RIVER-InspectorCheckerWeigher-%28Year-Round%29-%28Sydney-River%29-NS-B1R-1R7/582153517/ ,Public Works Location: SYDNEY RIVER, NS, CA, B1R 1R7 Shift Type: 08-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Public Works', 'Location': 'Location:\xa0SYDNEY RIVER', 'Type of Employment': 'Zone:\xa01', 'Union Status': 'Not found', 'Closing Date': 'Union Status:\xa0CUPE - NSPG', 'Pay Grade': 'Not found', 'Salary Range': 'Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted.'}
Program Admin Officer 3 (Designated) , https://jobs.novascotia.ca/job/HALIFAX-Program-Admin-Officer-3-%28Designated%29-NS-B3J-2R5/582157417/ ,Communities, Culture, Tourism & Heritage Location: HALIFAX, NS, CA, B3J 2R5 Shift Type: 14-Jul-24 Additional Data: {'Competition': '43322', 'Department': 'Department:\xa0Communities, Culture, Tourism & Heritage', 'Location': 'Location:\xa0HALIFAX', 'Type of Employment': 'Type of Employment:\xa0Term', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa0\u200b14-Jul-24\xa0\u200b\xa0(Applications are accepted until 11:59 PM Atlantic Time)', 'Pay Grade': 'PR 13', 'Salary Range': 'Salary Range:\xa0 $2,556.10\xa0- $3,107.16\xa0Bi-Weekly'}
Tourism Development Advisor (Planning & Develop Officer 1(A)-(B)-2(A)-(B)) , https://jobs.novascotia.ca/job/WINDSOR-Tourism-Development-Advisor-%28Planning-&-Develop-Officer-1%28A%29-%28B%29-2%28A%29-%28B%29%29-NS-B0N-2T0/582151917/ ,Communities, Culture, Tourism & Heritage Location: WINDSOR, NS, CA, B0N 2T0 Shift Type: 07-Jul-24 Additional Data: {'Competition': '43225', 'Department': 'Department:\xa0Communities, Culture, Tourism & Heritage', 'Location': 'Location:\xa0WINDSOR', 'Type of Employment': 'Type of Employment:\xa0Term', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa007-Jul-24\xa0\xa0(Applications are accepted until 11:59 PM Atlantic Time)', 'Pay Grade': 'PR 05\xa0- PR 13', 'Salary Range': 'Salary Range:\xa0 $1,844.97\xa0- $3,107.16\xa0Bi-Weekly'}
Program Admin Officer 4 (Senior Financial Advisor) , https://jobs.novascotia.ca/job/HALIFAX-Program-Admin-Officer-4-%28Senior-Financial-Advisor%29-NS-B3J-2A8/577985417/ ,Finance and Treasury Board Location: HALIFAX, NS, CA, B3J 2A8 Shift Type: 03-Jul-24 Additional Data: {'Competition': '41738', 'Department': 'Department:\xa0Finance and Treasury Board', 'Location': 'Location:\xa0HALIFAX', 'Type of Employment': 'Type of Employment:\xa0Permanent', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa0\u200b03-Jul-24\xa0\u200b\xa0(Applications are accepted until 11:59 PM Atlantic Time)', 'Pay Grade': 'PR 17', 'Salary Range': 'Salary Range:\xa0 $3,091.70\xa0- $3,631.17\xa0Bi-Weekly'}
Junior Financial Accountant , https://jobs.novascotia.ca/job/HALIFAX-Junior-Financial-Accountant-NS-B3J-1V9/582109617/ ,Finance and Treasury Board Location: HALIFAX, NS, CA, B3J 1V9 Shift Type: 04-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Finance and Treasury Board', 'Location': 'Location:\xa0HALIFAX', 'Type of Employment': 'Type of Employment:\xa0Term', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa004-Jul-24\xa0\xa0(Applications are accepted until 11:59 PM Atlantic Time)', 'Pay Grade': 'EC 07', 'Salary Range': 'Salary Range:\xa0 $2,081.28\xa0- $2,861.78\xa0Bi-Weekly'}
Policy Analyst (Research & Stat Officer 4) , https://jobs.novascotia.ca/job/BIBLE-HILL-Policy-Analyst-%28Research-&-Stat-Officer-4%29-NS-B6L-2R2/582107717/ ,Agriculture Location: BIBLE HILL, NS, CA, B6L 2R2 Shift Type: 04-Jul-24 Additional Data: {'Competition': '43216', 'Department': 'Department:\xa0Agriculture', 'Location': 'Location:\xa0BIBLE HILL', 'Type of Employment': 'Type of Employment:\xa0Permanent', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa0\u200b04-Jul-24\xa0\u200b\xa0(Applications are accepted until 11:59 PM Atlantic Time)', 'Pay Grade': 'PR 15', 'Salary Range': 'Salary Range:\xa0 $2,760.42\xa0- $3,364.90\xa0Bi-Weekly'}
CSR- Online Support Analyst/Contact Centre (Clerk 3) , https://jobs.novascotia.ca/job/HALIFAX-CSR%2C-Online-Support-AnalystContact-Centre-%28Clerk-3%29-NS-B3J-1M7/582098917/ ,Service Nova Scotia Location: HALIFAX, NS, CA, B3J 1M7 Shift Type: 04-Jul-24 Additional Data: {'Competition': '43338', 'Department': 'Service Nova Scotia', 'Location': 'HALIFAX', 'Type of Employment': 'Term', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '04-Jul-24', 'Pay Grade': 'CL 18', 'Salary Range': 'Salary Range:\xa0 $1,684.00\xa0- $1,884.17\xa0Bi-Weekly'}
Manager- Agreements , https://jobs.novascotia.ca/job/HALIFAX-Manager%2C-Agreements-NS-B3J-2T7/582100017/ ,Community Services Location: HALIFAX, NS, CA, B3J 2T7 Shift Type: 04-Jun-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Community Services', 'Location': 'Location:\xa0HALIFAX', 'Type of Employment': 'Type of Employment:\xa0Term', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa004-Jun-24', 'Pay Grade': 'Not found', 'Salary Range': 'Pay Grade:\xa0 EC 12'}
Forensic Social Worker (Social Worker 1-2) , https://jobs.novascotia.ca/job/SYDNEY-Forensic-Social-Worker-%28Social-Worker-1-2%29-NS-B1P-6T4/582102917/ ,Justice Location: SYDNEY, NS, CA, B1P 6T4 Shift Type: 04-Jul-24 Additional Data: {'Competition': '43287', 'Department': 'Justice', 'Location': 'SYDNEY', 'Type of Employment': 'Permanent', 'Union Status': 'Not found', 'Closing Date': '04-Jul-24', 'Pay Grade': 'PR 09\xa0- PR 15', 'Salary Range': 'Salary Range:\xa0 $2,173.77\xa0- $3,364.90\xa0Bi-Weekly'}
Maintenance Worker 2(A) , https://jobs.novascotia.ca/job/BIBLE-HILL-Maintenance-Worker-2%28A%29-NS-60-Researc/582115417/ ,Agriculture Location: BIBLE HILL, NS, CA, 60 Researc Shift Type: 04-Jul-24 Additional Data: {'Competition': '43336', 'Department': 'Department:\xa0Agriculture', 'Location': 'Location:\xa0BIBLE HILL', 'Type of Employment': 'Type of Employment:\xa0Seasonal', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa0\u200b04-Jul-24\xa0\u200b\xa0(Applications are accepted until 11:59 PM Atlantic Time)', 'Pay Grade': 'MOS 07', 'Salary Range': 'Salary Range:\xa0 $1,645.29\xa0- $1,686.75\xa0Bi-Weekly'}
Financial Services Officer 2 (Halifax) , https://jobs.novascotia.ca/job/HALIFAX-Financial-Services-Officer-2-%28Halifax%29-NS-B3J-2N2/582113017/ ,Public Works Location: HALIFAX, NS, CA, B3J 2N2 Shift Type: 04-Jul-24 Additional Data: {'Competition': '43361', 'Department': 'Department:\xa0Public Works', 'Location': 'Location:\xa0HALIFAX', 'Type of Employment': 'Type of Employment:\xa0Permanent', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa0\u200b04-Jul-24\xa0\u200b\xa0(Applications are accepted until 11:59 PM Atlantic Time)', 'Pay Grade': 'TE 22', 'Salary Range': 'Salary Range:\xa0 $2,189.32\xa0- $2,574.66\xa0Bi-Weekly'}
Project Coordinator (Program Admin Officer 1-2) , https://jobs.novascotia.ca/job/HALIFAX-Project-Coordinator-%28Program-Admin-Officer-1-2%29-NS-b3j2n2/582113717/ ,Public Works Location: HALIFAX, NS, CA, b3j2n2 Shift Type: 04-Jul-24 Additional Data: {'Competition': '43369', 'Department': 'Department:\xa0Public Works', 'Location': 'Location:\xa0HALIFAX', 'Type of Employment': 'Type of Employment:\xa0Permanent', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa004-Jul-24\xa0\xa0(Applications are accepted until 11:59 PM Atlantic Time)', 'Pay Grade': 'PR 06\xa0- PR 10', 'Salary Range': 'Salary Range:\xa0 $1,924.95\xa0- $2,760.42\xa0Bi-Weekly'}
Director- Mineral Management , https://jobs.novascotia.ca/job/HALIFAX-Director%2C-Mineral-Management-NS-B3J-2T9/582130317/ ,Natural Resources & Renewables Location: HALIFAX, NS, CA, B3J 2T9 Shift Type: 11-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Natural Resources & Renewables', 'Location': 'Location:\xa0HALIFAX', 'Type of Employment': 'Type of Employment:\xa0Permanent', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa011-Jul-24', 'Pay Grade': 'Not found', 'Salary Range': 'Pay Grade:\xa0 EC 14'}
Manager Regional Service Delivery , https://jobs.novascotia.ca/job/PICTOU-Manager-Regional-Service-Delivery-NS-B0K-1H0/582120317/ ,Justice Location: PICTOU, NS, CA, B0K 1H0 Shift Type: 11-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Department:\xa0Justice', 'Location': 'Location:\xa0PICTOU', 'Type of Employment': 'Type of Employment:\xa0Permanent', 'Union Status': 'Not found', 'Closing Date': 'Closing Date:\xa011-Jul-24', 'Pay Grade': 'Not found', 'Salary Range': 'Pay Grade:\xa0 EC 10'}
Administrative Assistant (Secretary 1) , https://jobs.novascotia.ca/job/YARMOUTH-Administrative-Assistant-%28Secretary-1%29-NS-B5A-2T1/582100117/ ,Community Services Location: YARMOUTH, NS, CA, B5A 2T1 Shift Type: 04-Jul-24 Additional Data: {'Competition': '43379', 'Department': 'Community Services', 'Location': 'YARMOUTH', 'Type of Employment': 'Permanent', 'Union Status': 'NSGEU - NSPG', 'Closing Date': '04-Jul-24', 'Pay Grade': 'CL 14', 'Salary Range': 'Salary Range:\xa0 $1,529.39\xa0- $1,684.00\xa0Bi-Weekly'}
Crown Attorney , https://jobs.novascotia.ca/job/DIGBY-Crown-Attorney-NS-B0V-1A0/582121517/ ,Public Prosecution Service Location: DIGBY, NS, CA, B0V 1A0 Shift Type: 04-Jul-24 Additional Data: {'Competition': 'Not found', 'Department': 'Not found', 'Location': 'Not found', 'Type of Employment': 'Not found', 'Union Status': 'Not found', 'Closing Date': 'Not found', 'Pay Grade': 'CA 01\xa0- SCA 10', 'Salary Range': 'Salary Range:\xa0 $3,185.77\xa0- $5,877.68\xa0Bi-Weekly'}
