Title,Link,Facility,Location,Shift Type,Competition,Department,Type of Employment,Union Status,Closing Date,Pay Grade,Salary Range
Social Worker (Regional Resource Assessor) (Designated),https://jobs.novascotia.ca/job/Flexible-Social-Worker-%28Regional-Resource-Assessor%29-%28Designated%29-NS-B4V-1V8/581348517/,Community Services,Flexible,03-Jul-24,42815,Community Services,Permanent,Not found,03-Jul-24,PR 09 - PR 15,"Salary Range:  $2,173.77 - $3,364.90 Bi-Weekly"
Correctional Officer - Relief Roster (Designated),https://jobs.novascotia.ca/job/HALIFAX-Correctional-Officer-Relief-Roster-%28Designated%29-NS-B3J-1T0/575552817/,Justice,Not found,07-Nov-24,Not found,Not found,07-Nov-24,Not found,Not found,Not found,Not found
Administrative Assistant (Secretary 2) - Casual Relief,https://jobs.novascotia.ca/job/KENTVILLE-Administrative-Assistant-%28Secretary-2%29-Casual-Relief-NS-B4N-2E3/582234617/,Justice,Location: KENTVILLE,16-Jul-24,Not found,Department: Justice,Type of Employment: Casual,Not found,Closing Date: 16-Jul-24,Not found,Pay Grade:  CL 18
Crown Attorney,https://jobs.novascotia.ca/job/KENTVILLE-Crown-Attorney-NS-B4N-2E3/582239617/,Public Prosecution Service,Not found,09-Jul-24,Not found,Not found,Not found,Not found,Not found,CA 01 - SCA 10,"Salary Range:  $3,185.77 - $5,877.68 Bi-Weekly"
Area Firearms Officer (Compliance Officer 3) - Halifax,https://jobs.novascotia.ca/job/HALIFAX-Area-Firearms-Officer-%28Compliance-Officer-3%29-Halifax-NS-B3J-2L6/582235217/,Justice,HALIFAX,09-Jul-24,43359,Justice,Permanent,NSGEU - NSPG,09-Jul-24,TE 24,"Salary Range:  $2,370.01 - $2,791.38 Bi-Weekly"
Area Firearms Officer (Compliance Officer 3) - Yarmouth,https://jobs.novascotia.ca/job/YARMOUTH-Area-Firearms-Officer-%28Compliance-Officer-3%29-Yarmouth-NS-B5A-2T1/582235317/,Justice,YARMOUTH,09-Jul-24,43358,Justice,Permanent,NSGEU - NSPG,09-Jul-24,TE 24,"Salary Range:  $2,370.01 - $2,791.38 Bi-Weekly"
Engineering Aide (Clerk 4) (New Minas),https://jobs.novascotia.ca/job/NEW-MINAS-Engineering-Aide-%28Clerk-4%29-%28New-Minas%29-NS-B4N-3G7/582227917/,Public Works,NEW MINAS,09-Jul-24,43402,Public Works,Term,NSGEU - NSPG,09-Jul-24,CL 22,"Salary Range:  $1,934.21 - $2,139.34 Bi-Weekly"
Dispatch Operator 1,https://jobs.novascotia.ca/job/SHUBENACADIE-Dispatch-Operator-1-NS-B0N-2H0/582232217/,Service Nova Scotia,SHUBENACADIE,07-Jul-24,43374,Service Nova Scotia,Permanent,NSGEU - NSPG,07-Jul-24,TE 17,"Salary Range:  $1,792.63 - $2,105.04 Bi-Weekly"
Clerk 3 (Administration and Vehicle Tax Clerk),https://jobs.novascotia.ca/job/HALIFAX-Clerk-3-%28Administration-and-Vehicle-Tax-Clerk%29-NS-B3J-3K5/582232317/,Service Nova Scotia,HALIFAX,09-Jul-24,43267,Service Nova Scotia,Term,NSGEU - NSPG,09-Jul-24,CL 18,"Salary Range:  $1,684.00 - $1,884.17 Bi-Weekly"
"Co-op Finance Student, Fall 2024 (2 Opportunities)",https://jobs.novascotia.ca/job/HALIFAX-Co-op-Finance-Student%2C-Fall-2024-%282-Opportunities%29-NS-B3J2A8/582231117/,Community Services,"Location: Halifax, Kentville or New Glasgow",09-Jul-24,Not found,Department: Community Services,Type of Employment: Student,Not found,Closing Date: 09-Jul-24,Not found,Pay Grade:  HOURLY
Park Attendant (Maintenance Worker 1(A)),https://jobs.novascotia.ca/job/BROOKLYN-Park-Attendant-%28Maintenance-Worker-1%28A%29%29-NS-B0N-2A0/582250517/,Natural Resources & Renewables,BROOKLYN,09-Jul-24,43423,Natural Resources & Renewables,Seasonal,NSGEU - NSPG,09-Jul-24,MOS 04,"Salary Range:  $1,546.31 - $1,575.65 Bi-Weekly"
Labour Standards Officer 3,https://jobs.novascotia.ca/job/HALIFAX-Labour-Standards-Officer-3-NS-B3J-2T8/582250717/,"Labour, Skills and Immigration",HALIFAX,09-Jul-24,43420,"Labour, Skills and Immigration",Permanent,NSGEU - NSPG,09-Jul-24,PR 15,"Salary Range:  $2,760.42 - $3,364.90 Bi-Weekly"
Executive Administrative Coordinator to the CEO,https://jobs.novascotia.ca/job/HALIFAX-Executive-Administrative-Coordinator-to-the-CEO-NS-B3J-1V9/582234117/,Art Gallery of Nova Scotia,Closing Date: ​09-Jul-24,09-Jul-24,Not found,Union Status: Exclusion - Non Union - NSPG,Pay Grade:  EC 06,Not found,Not found,Not found,Not found
Inspector/Checker/Weigher (Summer Works Period) (Yarmouth Construction Area) (4 Positions),https://jobs.novascotia.ca/job/YARMOUTH-COUNTY-InspectorCheckerWeigher-%28Summer-Works-Period%29-%28Yarmouth-Construction-Area%29-%284-Positions%29-NS-B5A-4A8/582193317/,Public Works,Location: YARMOUTH COUNTY,09-Jul-24,Not found,Department: Public Works,Zone: 34,Not found,Union Status: CUPE - NSPG,Not found,"Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted."
Inspector/Checker/Weigher (Summer Works Period) (Shelburne Construction Area) (2 Positions),https://jobs.novascotia.ca/job/SHELBURNE-InspectorCheckerWeigher-%28Summer-Works-Period%29-%28Shelburne-Construction-Area%29-%282-Positions%29-NS-B0T-1W0/582195817/,Public Works,Location: SHELBURNE,09-Jul-24,Not found,Department: Public Works,Zone: 32,Not found,Union Status: CUPE - NSPG,Not found,"Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted."
Division Crewperson (Special Works Crew) (Traffic Control Crew) (Bible Hill) (2 Positions),https://jobs.novascotia.ca/job/BIBLE-HILL-Division-Crewperson-%28Special-Works-Crew%29-%28Traffic-Control-Crew%29-%28Bible-Hill%29-%282-Positions%29-NS-B2N-4L7/582189017/,Public Works,Location: BIBLE HILL,09-Jul-24,Not found,Department: Public Works,"Zone: 14, 15 and 16",Not found,Union Status: CUPE - NSPG,Not found,"Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted."
Survey Assistant (Summer Works Period) (Colchester),https://jobs.novascotia.ca/job/BIBLE-HILL-Survey-Assistant-%28Summer-Works-Period%29-%28Colchester%29-NS-B2N-2C1/582202517/,Public Works,Location: BIBLE HILL,09-Jul-24,Not found,Department: Public Works,Zone: 14,Not found,Union Status: CUPE - NSPG,Not found,"Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted."
Division Crewperson (Year Round) (Londonderry),https://jobs.novascotia.ca/job/LONDONDERRY-Division-Crewperson-%28Year-Round%29-%28Londonderry%29-NS-B0M-1M0/582188217/,Public Works,Location: LONDONDERRY,09-Jul-24,Not found,Department: Public Works,Zone: 16,Not found,Union Status: CUPE - NSPG,Not found,"Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted."
Administrative Assistant (Secretary 2),https://jobs.novascotia.ca/job/HALIFAX-Administrative-Assistant-%28Secretary-2%29-NS-B3B-0K5/582211717/,Community Services,"Halifax, Dartmouth",08-Jul-24,43404,Community Services,Term,NSGEU - NSPG,08-Jul-24,CL 18,"Salary Range:  $1,684.00 - $1,884.17 Bi-Weekly"
Wildfire Prevention Officer (Forestry Technician 4),https://jobs.novascotia.ca/job/SHUBENACADIE-Wildfire-Prevention-Officer-%28Forestry-Technician-4%29-NS-B0N-2H0/582188917/,Natural Resources & Renewables,SHUBENACADIE,08-Jul-24,43383,Natural Resources & Renewables,Permanent,Not found,08-Jul-24,TE 27 -,"Salary Range:  $2,683.02 - $3,116.30 Bi-Weekly"
Motor Vehicle Officer 2 (Compliance Station Inspector) (Designated) (Enfield),https://jobs.novascotia.ca/job/ENFIELD-Motor-Vehicle-Officer-2-%28Compliance-Station-Inspector%29-%28Designated%29-%28Enfield%29-NS-B2T-1J6/582198717/,Public Works,ENFIELD,08-Jul-24,43398,Public Works,Permanent,NSGEU - NSPG,08-Jul-24,TE 22,"Salary Range:  $2,189.32 - $2,574.66 Bi-Weekly"
Clerk 3 (Enrollment Clerk),https://jobs.novascotia.ca/job/NEW-WATERFORD-Clerk-3-%28Enrollment-Clerk%29-NS-B1H-5V8/582205517/,Justice,NEW WATERFORD,08-Jul-24,43351,Justice,Permanent,NSGEU - NSPG,08-Jul-24,CL 18,"Salary Range:  $1,684.00 - $1,884.17 Bi-Weekly"
Motor Vehicle Officer 2 (Compliance Station Inspector) (Amherst) (2 Positions),https://jobs.novascotia.ca/job/AMHERST-Motor-Vehicle-Officer-2-%28Compliance-Station-Inspector%29-%28Amherst%29-%282-Positions%29-NS-B4H-3Y5/582200917/,Public Works,AMHERST,08-Jul-24,43399,Public Works,Permanent,NSGEU - NSPG,08-Jul-24,TE 22,"Salary Range:  $2,189.32 - $2,574.66 Bi-Weekly"
Deputy Sheriff 1-2 (Relief Roster),https://jobs.novascotia.ca/job/Multiple-Locations-Deputy-Sheriff-1-2-%28Relief-Roster%29-NS-B3J-1V7/579610717/,Justice,Multiple Locations,30-Jun-24,42336,Justice,Casual,Not found,30-Jun-24,TE 19 - TE 21,Salary Range:  $27.66 - $35.23 Hourly
Crown Attorney,https://jobs.novascotia.ca/job/SHELBURNE-Crown-Attorney-NS-B0T-1W0/579822017/,Public Prosecution Service,Not found,02-Jul-24,Not found,Not found,Not found,Not found,Not found,CA 01 - SCA 10,"Salary Range:  $3,185.77 - $5,877.68 Bi-Weekly"
Correctional Officer (Casual Relief),https://jobs.novascotia.ca/job/Multiple-Locations-Correctional-Officer-%28Casual-Relief%29-NS-B3J-1T0/575497217/,Justice,Not found,03-Nov-24,Not found,Not found,03-Nov-24,Not found,Not found,Not found,Not found
Dispatch Operator 1 (Temporary and Relief Opportunities),https://jobs.novascotia.ca/job/SHUBENACADIE-Dispatch-Operator-1-%28Temporary-and-Relief-Opportunities%29-NS-B0N-2H0/581191317/,Service Nova Scotia,SHUBENACADIE,04-Jul-24,42892,Service Nova Scotia,Term,NSGEU - NSPG,04-Jul-24,TE 17,"Salary Range:  $1,792.63 - $2,105.04 Bi-Weekly"
Team Lead (Dispatch Operator 2),https://jobs.novascotia.ca/job/SHUBENACADIE-Team-Lead-%28Dispatch-Operator-2%29-NS-B0N-2H0/581027717/,Service Nova Scotia,SHUBENACADIE,04-Jul-24,42894,Service Nova Scotia,Permanent,NSGEU - NSPG,04-Jul-24,TE 21,"Salary Range:  $2,105.04 - $2,466.26 Bi-Weekly"
Child & Youth Care Practitioner (Relief Roster) (Counsellor 2AB),https://jobs.novascotia.ca/job/BRIDGEWATER-Child-&-Youth-Care-Practitioner-%28Relief-Roster%29-%28Counsellor-2AB%29-NS-B4V-5S7/580201517/,Community Services,Not found,16-Jul-24,Not found,Not found,16-Jul-24,Not found,Not found,Not found,Not found
Assistant Curator (Registrar) Marine History (Historical/Archival/Cultural Officer 2),https://jobs.novascotia.ca/job/HALIFAX-Assistant-Curator-%28Registrar%29-Marine-History-%28HistoricalArchivalCultural-Officer-2%29-NS-B3J-1S3/582159617/,"Communities, Culture, Tourism & Heritage",Location: HALIFAX,12-Jul-24,43343,"Department: Communities, Culture, Tourism & Heritage",Type of Employment: Term,Not found,Closing Date: ​12-Jul-24 ​ (Applications are accepted until 11:59 PM Atlantic Time),PR 10,"Salary Range:  $2,262.74 - $2,760.42 Bi-Weekly"
Industry Training Consultant (Program Admin Officer 3) (Designated),https://jobs.novascotia.ca/job/HALIFAX-Industry-Training-Consultant-%28Program-Admin-Officer-3%29-%28Designated%29-NS-B3J-2S9/582174817/,"Labour, Skills and Immigration",HALIFAX,05-Jul-24,43357,"Labour, Skills and Immigration",Permanent,NSGEU - NSPG,05-Jul-24,PR 13,"Salary Range:  $2,556.10 - $3,107.16 Bi-Weekly"
Human Rights Officer 1(A)-(B)-2(A)-(B)-3  (Designated),https://jobs.novascotia.ca/job/Multiple-Locations-Human-Rights-Officer-1%28A%29-%28B%29-2%28A%29-%28B%29-3-%28Designated%29-NS-B3J3C4/582158317/,Human Rights Commission,Location: Multiple Locations,05-Jul-24,43340,Department: Human Rights Commission,Type of Employment: Permanent,Not found,Closing Date: 05-Jul-24  (Applications are accepted until 11:59 PM Atlantic Time),PR 04 - PR 14,"Salary Range:  $1,773.75 - $3,231.58 Bi-Weekly"
Articled Clerk (Public Prosecution Service),https://jobs.novascotia.ca/job/HALIFAX-Articled-Clerk-%28Public-Prosecution-Service%29-NS-B3J-0E8/582169717/,Public Prosecution Service,Location: HALIFAX,01-Jul-24,Not found,Department: Public Prosecution Service,Type of Employment: Contract,Not found,Closing Date: 01-Jul-24,Not found,Pay Grade:  BIWEEKLY
Privacy Specialist (Program Admin Officer 4),https://jobs.novascotia.ca/job/HALIFAX-Privacy-Specialist-%28Program-Admin-Officer-4%29-NS-B3J2L4/582149117/,Service Nova Scotia,HALIFAX,05-Jul-24,43335,Service Nova Scotia,Permanent,NSGEU - NSPG,05-Jul-24,PR 17,"Salary Range:  $3,107.16 - $3,649.33 Bi-Weekly"
Senior Data Analyst (Research & Stat Officer 4) (Hiring Pool),https://jobs.novascotia.ca/job/HALIFAX-Senior-Data-Analyst-%28Research-&-Stat-Officer-4%29-%28Hiring-Pool%29-NS-B3J-2R8/582177117/,Health and Wellness,HALIFAX,05-Jul-24,43326,Health and Wellness,Permanent,NSGEU - NSPG,05-Jul-24,PR 15,"Salary Range:  $2,760.42 - $3,364.90 Bi-Weekly"
Senior Policy Analyst (Program Admin Officer 4),https://jobs.novascotia.ca/job/HALIFAX-Senior-Policy-Analyst-%28Program-Admin-Officer-4%29-NS-B3J-1V7/582178217/,Natural Resources & Renewables,HALIFAX,05-Jul-24,42884,Natural Resources & Renewables,Term,NSGEU - NSPG,05-Jul-24,PR 17,"Salary Range:  $3,107.16 - $3,649.33 Bi-Weekly"
Secretary 3 (Administrative Assistant),https://jobs.novascotia.ca/job/HALIFAX-Secretary-3-%28Administrative-Assistant%29-NS-B3J-2P8/582177417/,Seniors and Long-Term Care,Location: HALIFAX,05-Jun-24,Not found,Department: Seniors and Long-Term Care,Type of Employment: Permanent,Not found,Closing Date: 05-Jun-24,Not found,Pay Grade:  EC 05
Operations Supervisor (Spry Bay or Middle Musquodoboit),https://jobs.novascotia.ca/job/SPRY-BAY-Operations-Supervisor-%28Spry-Bay-or-Middle-Musquodoboit%29-NS-B0J-1N0/582153817/,Public Works,Location: Spry Bay or Middle Musquodoboit,05-Jul-24,43389,Department: Public Works,Type of Employment: Permanent,Not found,Closing Date: ​05-Jul-24 ​ (Applications are accepted until 11:59 PM Atlantic Time),TE 26,"Salary Range:  $2,574.66 - $3,008.06 Bi-Weekly"
"Procurement Specialist, Clinical Procurement (Program Admin Officer 3)",https://jobs.novascotia.ca/job/HALIFAX-Procurement-Specialist%2C-Clinical-Procurement-%28Program-Admin-Officer-3%29-NS-B3J1M7/582144017/,Service Nova Scotia,HALIFAX,12-Jul-24,43367,Service Nova Scotia,Permanent,NSGEU - NSPG,12-Jul-24,PR 13,"Salary Range:  $2,556.10 - $3,107.16 Bi-Weekly"
Inspector/Checker/Weigher (Year Round) (Sydney River),https://jobs.novascotia.ca/job/SYDNEY-RIVER-InspectorCheckerWeigher-%28Year-Round%29-%28Sydney-River%29-NS-B1R-1R7/582153517/,Public Works,Location: SYDNEY RIVER,08-Jul-24,Not found,Department: Public Works,Zone: 1,Not found,Union Status: CUPE - NSPG,Not found,"Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted."
Program Admin Officer 3 (Designated),https://jobs.novascotia.ca/job/HALIFAX-Program-Admin-Officer-3-%28Designated%29-NS-B3J-2R5/582157417/,"Communities, Culture, Tourism & Heritage",Location: HALIFAX,14-Jul-24,43322,"Department: Communities, Culture, Tourism & Heritage",Type of Employment: Term,Not found,Closing Date: ​14-Jul-24 ​ (Applications are accepted until 11:59 PM Atlantic Time),PR 13,"Salary Range:  $2,556.10 - $3,107.16 Bi-Weekly"
Tourism Development Advisor (Planning & Develop Officer 1(A)-(B)-2(A)-(B)),https://jobs.novascotia.ca/job/WINDSOR-Tourism-Development-Advisor-%28Planning-&-Develop-Officer-1%28A%29-%28B%29-2%28A%29-%28B%29%29-NS-B0N-2T0/582151917/,"Communities, Culture, Tourism & Heritage",Location: WINDSOR,07-Jul-24,43225,"Department: Communities, Culture, Tourism & Heritage",Type of Employment: Term,Not found,Closing Date: 07-Jul-24  (Applications are accepted until 11:59 PM Atlantic Time),PR 05 - PR 13,"Salary Range:  $1,844.97 - $3,107.16 Bi-Weekly"
Program Admin Officer 4 (Senior Financial Advisor),https://jobs.novascotia.ca/job/HALIFAX-Program-Admin-Officer-4-%28Senior-Financial-Advisor%29-NS-B3J-2A8/577985417/,Finance and Treasury Board,Location: HALIFAX,03-Jul-24,41738,Department: Finance and Treasury Board,Type of Employment: Permanent,Not found,Closing Date: ​03-Jul-24 ​ (Applications are accepted until 11:59 PM Atlantic Time),PR 17,"Salary Range:  $3,091.70 - $3,631.17 Bi-Weekly"
Junior Financial Accountant,https://jobs.novascotia.ca/job/HALIFAX-Junior-Financial-Accountant-NS-B3J-1V9/582109617/,Finance and Treasury Board,Location: HALIFAX,04-Jul-24,Not found,Department: Finance and Treasury Board,Type of Employment: Term,Not found,Closing Date: 04-Jul-24  (Applications are accepted until 11:59 PM Atlantic Time),EC 07,"Salary Range:  $2,081.28 - $2,861.78 Bi-Weekly"
Policy Analyst (Research & Stat Officer 4),https://jobs.novascotia.ca/job/BIBLE-HILL-Policy-Analyst-%28Research-&-Stat-Officer-4%29-NS-B6L-2R2/582107717/,Agriculture,Location: BIBLE HILL,04-Jul-24,43216,Department: Agriculture,Type of Employment: Permanent,Not found,Closing Date: ​04-Jul-24 ​ (Applications are accepted until 11:59 PM Atlantic Time),PR 15,"Salary Range:  $2,760.42 - $3,364.90 Bi-Weekly"
"CSR, Online Support Analyst/Contact Centre (Clerk 3)",https://jobs.novascotia.ca/job/HALIFAX-CSR%2C-Online-Support-AnalystContact-Centre-%28Clerk-3%29-NS-B3J-1M7/582098917/,Service Nova Scotia,HALIFAX,04-Jul-24,43338,Service Nova Scotia,Term,NSGEU - NSPG,04-Jul-24,CL 18,"Salary Range:  $1,684.00 - $1,884.17 Bi-Weekly"
"Manager, Agreements",https://jobs.novascotia.ca/job/HALIFAX-Manager%2C-Agreements-NS-B3J-2T7/582100017/,Community Services,Location: HALIFAX,04-Jun-24,Not found,Department: Community Services,Type of Employment: Term,Not found,Closing Date: 04-Jun-24,Not found,Pay Grade:  EC 12
Forensic Social Worker (Social Worker 1-2),https://jobs.novascotia.ca/job/SYDNEY-Forensic-Social-Worker-%28Social-Worker-1-2%29-NS-B1P-6T4/582102917/,Justice,SYDNEY,04-Jul-24,43287,Justice,Permanent,Not found,04-Jul-24,PR 09 - PR 15,"Salary Range:  $2,173.77 - $3,364.90 Bi-Weekly"
Maintenance Worker 2(A),https://jobs.novascotia.ca/job/BIBLE-HILL-Maintenance-Worker-2%28A%29-NS-60-Researc/582115417/,Agriculture,Location: BIBLE HILL,04-Jul-24,43336,Department: Agriculture,Type of Employment: Seasonal,Not found,Closing Date: ​04-Jul-24 ​ (Applications are accepted until 11:59 PM Atlantic Time),MOS 07,"Salary Range:  $1,645.29 - $1,686.75 Bi-Weekly"
Financial Services Officer 2 (Halifax),https://jobs.novascotia.ca/job/HALIFAX-Financial-Services-Officer-2-%28Halifax%29-NS-B3J-2N2/582113017/,Public Works,Location: HALIFAX,04-Jul-24,43361,Department: Public Works,Type of Employment: Permanent,Not found,Closing Date: ​04-Jul-24 ​ (Applications are accepted until 11:59 PM Atlantic Time),TE 22,"Salary Range:  $2,189.32 - $2,574.66 Bi-Weekly"
Project Coordinator (Program Admin Officer 1-2),https://jobs.novascotia.ca/job/HALIFAX-Project-Coordinator-%28Program-Admin-Officer-1-2%29-NS-b3j2n2/582113717/,Public Works,Location: HALIFAX,04-Jul-24,43369,Department: Public Works,Type of Employment: Permanent,Not found,Closing Date: 04-Jul-24  (Applications are accepted until 11:59 PM Atlantic Time),PR 06 - PR 10,"Salary Range:  $1,924.95 - $2,760.42 Bi-Weekly"
"Director, Mineral Management",https://jobs.novascotia.ca/job/HALIFAX-Director%2C-Mineral-Management-NS-B3J-2T9/582130317/,Natural Resources & Renewables,Location: HALIFAX,11-Jul-24,Not found,Department: Natural Resources & Renewables,Type of Employment: Permanent,Not found,Closing Date: 11-Jul-24,Not found,Pay Grade:  EC 14
Manager Regional Service Delivery,https://jobs.novascotia.ca/job/PICTOU-Manager-Regional-Service-Delivery-NS-B0K-1H0/582120317/,Justice,Location: PICTOU,11-Jul-24,Not found,Department: Justice,Type of Employment: Permanent,Not found,Closing Date: 11-Jul-24,Not found,Pay Grade:  EC 10
Administrative Assistant (Secretary 1),https://jobs.novascotia.ca/job/YARMOUTH-Administrative-Assistant-%28Secretary-1%29-NS-B5A-2T1/582100117/,Community Services,YARMOUTH,04-Jul-24,43379,Community Services,Permanent,NSGEU - NSPG,04-Jul-24,CL 14,"Salary Range:  $1,529.39 - $1,684.00 Bi-Weekly"
Crown Attorney,https://jobs.novascotia.ca/job/DIGBY-Crown-Attorney-NS-B0V-1A0/582121517/,Public Prosecution Service,Not found,04-Jul-24,Not found,Not found,Not found,Not found,Not found,CA 01 - SCA 10,"Salary Range:  $3,185.77 - $5,877.68 Bi-Weekly"
Division Crewperson (Summer Works) (New Minas),https://jobs.novascotia.ca/job/NEW-MINAS-Division-Crewperson-%28Summer-Works%29-%28New-Minas%29-NS-B4N-3G7/582110717/,Public Works,Location: NEW MINAS,05-Jul-24,Not found,Department: Public Works,Zone: 26,Not found,Union Status: CUPE - NSPG,Not found,"Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted."
Inspector/Checker/Weigher (Summer Works Period) (Sydney River) (2 Positions),https://jobs.novascotia.ca/job/SYDNEY-RIVER-InspectorCheckerWeigher-%28Summer-Works-Period%29-%28Sydney-River%29-%282-Positions%29-NS-B1R-1R7/582114017/,Public Works,Location: SYDNEY RIVER,05-Jul-24,Not found,Department: Public Works,Zone: 1,Not found,Union Status: CUPE - NSPG,Not found,"Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted."
Program Support Specialist (Program Admin Officer 1-2),https://jobs.novascotia.ca/job/HALIFAX-Program-Support-Specialist-%28Program-Admin-Officer-1-2%29-NS-B3K-3J5/582059317/,Service Nova Scotia,HALIFAX,03-Jul-24,43237,Service Nova Scotia,Term,Not found,03-Jul-24,PR 06 - PR 10,"Salary Range:  $1,924.95 - $2,760.42 Bi-Weekly"
Articled Clerk (Legal Services),https://jobs.novascotia.ca/job/HALIFAX-Articled-Clerk-%28Legal-Services%29-NS-B3J-1V7/582062617/,Justice,Location: HALIFAX,30-Jun-24,Not found,Department: Justice,Type of Employment: Contract,Not found,Closing Date: 30-Jun-24,Not found,Pay Grade:  BIWEEKLY
Training Coordinator (Program Admin. Officer 3),https://jobs.novascotia.ca/job/HALIFAX-Training-Coordinator-%28Program-Admin_-Officer-3%29-NS-B3J-1M7/582080517/,Service Nova Scotia,HALIFAX,03-Jul-24,42610,Service Nova Scotia,Permanent,NSGEU - NSPG,03-Jul-24,PR 13,"Salary Range:  $2,556.10 - $3,107.16 Bi-Weekly"
Program Technician Internship,https://jobs.novascotia.ca/job/HALIFAX-Program-Technician-Internship-NS-B3J-3X8/582077517/,Seniors and Long-Term Care,HALIFAX,03-Jul-24,43362,Seniors and Long-Term Care,Internship,NSGEU - NSPG,03-Jul-24,PR 06,"Salary Range:  $1,924.95 - $2,360.46 Bi-Weekly"
Examinations Clerk (Clerk 3),https://jobs.novascotia.ca/job/HALIFAX-Examinations-Clerk-%28Clerk-3%29-NS-B3J-2S9/582078217/,"Labour, Skills and Immigration",HALIFAX,03-Jul-24,43377,"Labour, Skills and Immigration",Term,NSGEU - NSPG,03-Jul-24,CL 18,"Salary Range:  $1,684.00 - $1,884.17 Bi-Weekly"
Platform Lead,https://jobs.novascotia.ca/job/HALIFAX-Platform-Lead-NS-B3J1M7/576950317/,Cyber Security & Digital Solutions,"Salary:                    $3,107.16 - $3,649.33 Bi-Weekly / $80,786.16 - $94,882.58 Annually (PR 17)",02-Jul-24,Not found,Not found,Not found,Not found,Not found,Not found,Location:                Halifax
